GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",300,"..."," All other industries 2/","Thousands of dollars",235872,246047,249725,260232,273744,285975,303501,307192,302995,283885,284748,317297,305906,316931,330428,332483
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",1000050,1073196,1103056,1110431,1082204,1071496,1092837,1143126,1152434,1205731,1229583,1260457,1314179,1279417,1333850,1355056
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",97305,102119,106559,103250,109860,108669,115502,119716,117649,117382,114937,119160,122664,128732,122271,117885
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",16238,16386,15124,11690,12252,9852,9107,9253,11432,14154,14683,16879,16891,19334,15501,17394
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",4782,7254,7045,5818,5493,5500,9672,10419,9290,6082,6395,6966,7864,9214,9369,8547
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",27,46,15,9,10,79,0,1,0,70,70,73,79,18,9,801
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",7544,5801,5861,4794,5625,4424,3900,3489,4942,5715,5506,9434,9483,5460,4831,3499
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",7616,8919,10905,13015,14523,17303,18934,17248,14228,11196,11687,12621,13627,14211,13905,14074
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",9481,10258,9094,9718,9588,10291,10986,13643,13227,14322,12321,14218,16133,18951,18535,17209
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",33028,34254,37813,37702,39227,37512,42104,40868,40276,42114,42105,38047,36661,36732,33791,28933
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",2468,2323,2835,3571,4176,3699,1176,971,1409,1348,1544,1285,1278,1359,1223,1387
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",2304,2884,3228,3011,3593,3711,3572,3614,2948,3883,3338,2641,2958,2967,3044,2384
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",359,392,329,363,297,256,298,286,185,304,267,191,370,1826,1927,2256
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",764,1028,1335,1271,1181,1222,477,393,494,1031,1005,1070,1371,2432,3353,3832
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",762,908,927,941,1109,1235,1347,1564,1953,2168,2123,2218,2051,1772,1684,1838
