,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 45 through 47.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129
10,Alabama,4819343,3710,4158224,20321,535649,18004,111803,8786,,,Alabama,424,391,1513,1198,517,630,2328,958,1974,1054,Alabama,336,379,22,42,378,254,14171,2012,22363,3888,Alabama,93,140,118,134,2399,1190,2295,1387,627,381,Alabama,646,508,2157,948,2308,1494,56,88,801,385,Alabama,450,373,1821,725,420,352,7798,2365,544,315,Alabama,247,349,167,272,1989,1076,245,203,1103,822,Alabama,1007,1360,2203,988,4245,1672,878,1209,1702,859,Alabama,877,716,444,681,1595,682,848,931,1896,988,Alabama,96,177,8018,2347,8825,2444,998,929,0,200,Alabama,4277,1530,1289,862,1070,1211,1121,991,104,193,Alabama,13667,2273,476,469,0,200,13191,2200
11,Alaska,730874,1438,595804,9147,98168,8242,30199,4584,942,688,Alaska,,,1387,918,203,266,3556,1253,1487,684,Alaska,0,153,0,153,0,153,906,530,422,353,Alaska,424,385,225,200,723,671,186,205,1083,1718,Alaska,17,26,397,319,327,339,225,246,325,513,Alaska,111,164,524,335,1077,765,172,134,143,190,Alaska,156,217,282,339,633,363,0,153,485,547,Alaska,64,91,757,616,345,381,103,105,448,643,Alaska,373,476,1232,620,274,286,216,317,270,208,Alaska,6,12,544,385,2165,1206,465,461,0,153,Alaska,360,259,3653,1445,0,153,2500,2858,6,13,Alaska,6703,2197,0,153,965,797,5738,2168
12,Arizona,6935358,3888,5717189,24333,911120,22690,261727,11986,1337,701,Arizona,2255,857,,,1763,978,59233,6519,12810,3421,Arizona,730,434,810,615,362,288,8522,2422,5278,2444,Arizona,2651,1173,3991,2179,13095,3782,3381,1203,3423,1194,Arizona,2506,1035,1708,1188,2174,1785,194,191,1108,503,Arizona,2382,1520,5651,1741,7093,2146,1261,809,5195,1642,Arizona,2436,1187,1870,1054,7647,2655,578,857,4329,1754,Arizona,6455,2078,5674,1870,4429,1867,2725,1056,5095,1425,Arizona,4856,1898,10701,2729,6332,1901,141,240,1214,1004,Arizona,1458,764,2194,890,12793,2170,8594,3233,96,144,Arizona,3593,1166,14392,3663,318,402,3897,1221,997,910,Arizona,45322,5364,438,358,91,106,44793,5315
13,Arkansas,2968395,3103,2509717,16654,370309,15515,79411,7492,574,572,Arkansas,241,349,1060,600,,,5334,1766,2547,1084,Arkansas,0,201,0,201,0,201,1525,626,1805,1181,Arkansas,0,201,582,521,2252,891,1810,1229,176,141,Arkansas,2021,898,1222,850,2867,1335,0,201,1425,1474,Arkansas,97,193,961,648,808,557,4171,1501,6759,1817,Arkansas,118,120,475,387,439,638,78,136,359,396,Arkansas,414,432,283,291,1749,1207,88,148,39,77,Arkansas,7854,2559,749,718,2639,2472,0,201,487,481,Arkansas,0,201,5383,1750,15767,3797,657,661,0,201,Arkansas,1087,836,1539,1193,0,201,958,641,12,25,Arkansas,8958,2034,573,602,0,201,8385,1955
14,California,39085984,10045,34009331,68358,4234770,58169,523131,20053,3715,1429,California,2606,777,26907,4106,3471,1508,,,25038,4892,California,5935,2368,491,325,6818,1816,24611,4231,10233,2494,California,12776,2650,5626,1851,27117,4064,5190,1419,4163,1439,California,5202,2088,3431,1448,5169,1666,2578,1842,11303,2985,California,16774,2692,11538,3334,7487,1769,3299,1175,6841,1705,California,2809,1301,2419,1022,23768,4238,1216,557,12906,2336,California,5312,1529,34278,3962,13523,2862,2223,1392,11410,2000,California,4890,1770,20548,2993,16141,2831,1763,703,7134,2127,California,1403,792,5413,1361,40999,5372,9925,2313,895,493,California,21162,4009,33143,4599,789,525,9348,3574,1395,994,California,318752,16837,1864,876,842,422,316046,16679
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Colorado,5542282,3414,4546729,22932,734182,22118,226933,11475,3120,1592,Colorado,2030,1552,6765,1768,1356,756,27014,4200,,,Colorado,1800,881,764,598,863,543,12385,3620,4712,1698,Colorado,3512,1848,2984,1724,10652,3489,2754,1255,3035,1256,Colorado,6653,3069,2195,1269,2195,741,448,378,3420,1502,Colorado,2785,988,2661,931,4369,2199,1085,609,3774,1098,Colorado,675,366,4541,1410,3800,1211,1416,959,5166,1902,Colorado,4715,1379,8560,3346,6273,2170,1286,818,5144,1295,Colorado,5180,1829,4359,1553,4840,1799,963,1007,2221,1415,Colorado,1453,730,2453,1010,25212,3796,3417,1351,471,432,Colorado,6099,2231,6675,2062,42,55,3506,1224,5135,1877,Colorado,34438,5150,828,652,568,382,33042,4876
17,Connecticut,3556297,2701,3136666,16246,311726,14866,83325,6561,206,226,Connecticut,540,753,644,625,160,185,2807,1064,370,327,Connecticut,,,463,345,414,312,6589,1608,1531,920,Connecticut,473,430,0,207,697,530,534,418,0,207,Connecticut,0,207,227,301,716,619,627,526,992,604,Connecticut,12004,2598,376,322,160,202,0,207,1601,918,Connecticut,0,207,154,262,142,239,472,351,3930,1991,Connecticut,825,425,28542,4348,1910,885,187,224,1171,911,Connecticut,400,457,579,467,3263,1389,2061,828,1019,810,Connecticut,0,207,166,194,3698,1364,149,168,393,332,Connecticut,1314,654,374,287,0,207,188,217,257,265,Connecticut,24580,4479,3780,2431,0,207,20800,3534
18,Delaware,952449,1698,830905,8792,78998,7077,38532,4552,506,507,Delaware,0,198,76,121,0,198,580,512,144,152,Delaware,174,190,,,316,269,1335,906,179,258,Delaware,110,192,0,198,857,1017,41,76,0,198,Delaware,0,198,21,37,73,103,0,198,9748,2316,Delaware,396,296,441,683,45,79,0,198,153,252,Delaware,0,198,0,198,0,198,0,198,4006,1321,Delaware,44,71,3564,1346,327,375,0,198,80,102,Delaware,295,362,104,172,11035,2639,0,198,144,199,Delaware,0,198,318,443,1152,953,32,55,59,94,Delaware,1510,685,0,198,371,591,296,353,0,198,Delaware,4014,1272,260,241,66,110,3688,1174
19,District of Columbia ,684810,1664,554225,7670,64013,6510,56231,4393,494,417,District of Columbia ,0,208,549,667,105,146,3763,1034,1109,667,District of Columbia ,1149,624,375,336,,,1182,530,1507,643,District of Columbia ,29,47,161,184,2726,945,710,574,17,29,District of Columbia ,0,208,285,452,461,452,122,126,10835,1863,District of Columbia ,2669,723,808,396,436,391,157,182,466,319,District of Columbia ,0,208,0,208,128,141,88,141,2590,1443,District of Columbia ,206,353,5238,1495,1867,893,5,13,1026,500,District of Columbia ,0,208,37,62,1824,640,296,336,235,214,District of Columbia ,0,208,1057,609,2858,1430,384,360,447,456,District of Columbia ,7509,1565,206,231,0,208,115,145,0,208,District of Columbia ,10341,2210,356,325,78,130,9907,2249
20,Florida,20772371,8045,17554348,46036,2402381,46730,566476,18973,9389,1941,Florida,1400,672,5577,1546,3028,1505,30919,4258,12061,2617,Florida,11249,2621,3831,2512,605,427,,,38800,5474,Florida,2092,1473,1359,910,28631,4292,11833,2316,3466,1261,Florida,3376,1217,9762,2653,6403,1829,2960,1441,18907,3777,Florida,18212,3608,19169,3337,7614,2804,4236,1876,8820,2404,Florida,755,485,987,711,4681,1991,5887,1995,27892,5178,Florida,2811,1422,63722,7787,23270,5111,702,624,22946,3358,Florida,6123,2813,3231,1606,28507,4070,3259,1793,10521,2657,Florida,763,491,12023,2611,31625,4594,6063,2906,2816,1217,Florida,28232,4616,6176,1803,2187,834,7202,2082,396,384,Florida,249166,15822,28538,6571,2847,2026,217781,13578
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Georgia,10299497,6400,8760762,36118,1202587,29374,278889,16483,15270,2815,Georgia,986,941,6218,2226,2055,1012,12052,2299,4981,1863,Georgia,2216,1294,997,1169,1077,625,47035,7044,,,Georgia,1482,945,1825,841,12025,2997,3319,1223,1079,808,Georgia,5213,3888,2226,861,6379,2281,132,269,4027,1419,Georgia,2834,1845,5249,1752,2591,1698,4597,1719,4008,2255,Georgia,61,106,650,448,349,304,975,985,7389,2159,Georgia,1801,1174,15395,4226,12684,3170,32,63,9472,3393,Georgia,2285,1042,718,437,5967,2072,644,504,15269,3659,Georgia,132,218,15224,3312,19969,5092,1503,870,38,49,Georgia,11256,3502,2649,989,420,447,3504,1495,630,652,Georgia,57259,6329,3345,1584,306,294,53608,6052
23,Hawaii,1410750,1722,1231340,10978,115683,10053,46457,5358,844,536,Hawaii,424,465,1666,815,48,78,8843,1935,1584,913,Hawaii,238,338,14,25,232,251,2460,1133,2915,2146,Hawaii,,,466,486,1062,744,327,286,779,511,Hawaii,637,445,0,187,248,317,0,187,629,407,Hawaii,862,820,353,256,97,158,171,214,700,564,Hawaii,0,187,136,124,1525,819,0,187,125,154,Hawaii,784,664,804,555,1399,950,62,102,1053,557,Hawaii,0,187,1103,615,1218,781,5,12,1262,755,Hawaii,45,75,495,437,4078,1641,962,1192,0,187,Hawaii,2656,1731,2837,1168,0,187,213,240,96,165,Hawaii,17270,3559,11,18,1572,1101,15687,3219
24,Idaho,1694182,2325,1405344,15502,210310,14673,71899,7189,58,94,Idaho,796,567,1523,696,265,312,21372,5397,3823,1840,Idaho,0,201,126,198,0,201,1833,2178,444,432,Idaho,765,826,,,357,432,169,262,0,201,Idaho,0,201,269,281,281,290,270,446,305,342,Idaho,0,201,630,704,348,342,261,428,1216,1037,Idaho,938,465,514,558,2195,1080,0,201,70,109,Idaho,570,376,598,342,1294,975,1900,1289,407,280,Idaho,227,287,3866,1327,582,483,0,201,145,232,Idaho,140,236,749,351,3685,1923,7226,2218,0,201,Idaho,612,898,8881,2253,0,201,442,461,1747,1076,Idaho,6629,2456,67,117,0,201,6562,2447
25,Illinois,12659328,5300,11026895,37393,1365922,33966,195092,11000,1682,1024,Illinois,270,216,4159,1411,2591,967,16046,2525,5172,2315,Illinois,1860,925,120,133,995,558,10513,2520,4420,1886,Illinois,460,397,670,523,,,16998,2496,8837,2057,Illinois,1212,517,2985,1100,1053,563,173,202,2681,994,Illinois,2998,974,10793,2179,5286,2208,2409,1502,16147,3106,Illinois,187,185,2290,1185,2565,1264,310,291,3698,1248,Illinois,632,731,6377,1610,3923,1781,576,455,6736,1484,Illinois,686,372,962,581,3090,1035,266,280,1848,937,Illinois,686,689,5086,1931,11642,2759,1160,770,51,86,Illinois,4127,1645,4846,1503,130,201,12274,2433,414,569,Illinois,71419,5809,1829,1082,0,190,69590,5780
26,Indiana,6591598,4170,5633171,21965,792487,21997,142290,8504,1216,801,Indiana,131,144,948,543,852,536,10096,2379,1692,837,Indiana,413,423,0,197,250,222,9027,1941,4224,1748,Indiana,424,404,39,71,29526,4988,,,1825,1106,Indiana,1590,975,11298,2481,1223,939,0,197,1093,569,Indiana,957,585,8377,2013,1400,530,641,609,1288,742,Indiana,192,253,518,441,919,620,69,137,2836,1299,Indiana,1459,1277,1551,597,3293,1673,78,162,10940,2118,Indiana,1695,1178,668,359,1341,462,0,197,962,609,Indiana,372,277,5122,1454,10543,2818,1240,751,512,469,Indiana,1867,734,2782,1218,1044,1408,3757,1451,0,197,Indiana,23650,3542,144,155,93,126,23413,3546
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Iowa,3106880,2770,2654666,12669,362905,12692,77072,4978,817,577,Iowa,629,344,2346,1155,693,493,2625,848,2257,796,Iowa,150,179,95,164,0,163,3945,1540,2475,1190,Iowa,266,247,1005,618,12997,1987,1390,1042,,,Iowa,2895,1321,467,444,327,414,54,71,579,503,Iowa,288,495,629,321,6834,1709,164,199,4510,1460,Iowa,443,438,6639,1783,874,856,46,80,205,210,Iowa,138,141,306,213,1827,1107,332,222,991,753,Iowa,478,348,707,490,1418,710,158,213,411,266,Iowa,2685,1092,1152,787,3315,1172,489,513,227,175,Iowa,774,648,1405,1177,550,554,3011,1313,54,65,Iowa,12237,2764,67,115,0,163,12170,2750
29,Kansas,2876925,2252,2413141,16713,366147,14775,86154,6863,276,266,Kansas,515,402,1404,687,1225,610,6511,2781,5871,2455,Kansas,412,389,0,177,5,10,2661,856,2490,983,Kansas,419,348,54,65,2840,1017,1433,924,2119,1034,Kansas,,,168,174,580,423,24,31,623,611,Kansas,417,557,378,254,679,401,552,754,21605,3511,Kansas,338,249,2939,976,785,643,338,537,408,327,Kansas,493,490,2196,1175,1165,635,90,96,2044,1329,Kansas,6508,1813,333,285,674,434,0,177,0,177,Kansas,729,662,788,440,9814,2807,981,702,0,177,Kansas,1029,650,801,579,0,177,317,193,123,214,Kansas,11483,2776,347,480,0,177,11136,2612
30,Kentucky,4404279,3412,3721100,18613,563721,16774,103985,7510,2851,1437,Kentucky,506,623,333,215,342,301,4466,1389,614,452,Kentucky,799,519,558,491,51,82,6318,1935,2654,988,Kentucky,222,274,31,53,5333,1782,10192,2129,558,568,Kentucky,1068,816,,,1205,941,0,195,1413,629,Kentucky,555,459,1602,646,577,561,495,327,1643,754,Kentucky,169,221,570,421,215,234,292,289,730,470,Kentucky,1409,1088,2115,1334,3228,1693,132,183,19493,3639,Kentucky,1345,925,368,398,1543,715,154,211,1473,947,Kentucky,73,115,11642,2338,6677,2485,0,195,85,100,Kentucky,2453,814,1428,973,2140,899,1599,794,266,435,Kentucky,15473,2667,1402,974,0,195,14071,2643
31,Louisiana,4629962,4671,4030674,23379,513676,21398,72836,6749,2830,1314,Louisiana,199,316,520,460,3289,1540,5534,1492,1575,1083,Louisiana,407,419,0,214,100,166,4404,1337,3382,1563,Louisiana,555,484,0,214,1829,924,327,214,472,557,Louisiana,581,530,443,303,,,0,214,756,471,Louisiana,350,278,2003,1512,84,144,9011,2928,975,820,Louisiana,347,475,141,192,237,276,595,539,522,535,Louisiana,298,368,1854,806,1931,1077,363,498,983,604,Louisiana,912,597,265,319,883,471,48,66,903,695,Louisiana,16,32,1733,1118,17674,2800,34,61,0,214,Louisiana,2073,838,623,450,261,321,319,236,195,313,Louisiana,12776,2507,455,352,0,214,12321,2434
32,Maine,1322591,1567,1140136,8998,144186,7584,34252,3384,246,379,Maine,163,188,322,236,12,22,1578,941,849,670,Maine,1690,717,111,109,124,148,3059,1360,1241,927,Maine,0,175,180,232,152,196,99,132,0,175,Maine,0,175,41,78,455,412,,,88,119,Maine,7567,1740,227,177,241,263,67,98,659,776,Maine,0,175,276,382,64,78,4274,1284,662,401,Maine,38,57,2478,790,1074,745,0,175,427,317,Maine,11,25,294,268,1629,687,336,221,189,208,Maine,0,175,255,210,491,344,444,535,569,423,Maine,1162,559,336,260,72,124,0,175,0,175,Maine,4017,1191,12,23,0,175,4005,1193
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Maryland,5988007,3186,5168350,22507,605885,19283,165654,9442,644,495,Maryland,961,765,1689,931,410,346,8994,2513,2182,1115,Maryland,1726,956,5455,1954,22811,3507,7755,1786,6343,2517,Maryland,3167,1986,347,460,2615,901,1887,855,383,248,Maryland,451,560,899,607,394,271,197,246,,,Maryland,2845,1492,1371,639,731,486,806,1200,253,234,Maryland,78,127,0,203,1351,1159,264,251,6361,1681,Maryland,1066,1645,13538,3383,9437,2680,325,345,2818,920,Maryland,1094,734,187,241,12297,2379,572,338,1862,679,Maryland,0,203,977,563,6890,2163,810,453,386,348,Maryland,23315,3411,1839,859,3926,1556,901,795,44,73,Maryland,48118,5690,1808,1419,488,421,45822,5774
