4,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,
5,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,,Colorado,,Connecticut,,Delaware,,District of Columbia ,,Florida,,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Puerto Rico,,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,,Wisconsin,,Wyoming,
6,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE
22,Idaho,185,212,1650,970,2259,943,0,256,15663,4055,Idaho,2425,1617,251,244,0,256,29,54,1393,836,Idaho,179,187,455,384,205442,10728,842,531,69,113,Idaho,421,445,54,91,50,87,65,105,0,256,Idaho,1492,1217,343,500,703,488,366,362,81,127,Idaho,1068,625,2168,1202,481,569,3355,1537,0,256,Idaho,331,353,584,640,346,399,196,129,206,245,Idaho,341,366,204,249,6643,1931,652,660,50,96,Idaho,332,457,229,240,0,256,415,459,2034,1088,Idaho,7210,2082,0,256,328,308,10696,2449,0,256,Idaho,366,409,1177,1103
23,Illinois,1551,788,2879,2320,5050,1456,2549,1624,18821,3992,Illinois,4401,1723,966,517,357,516,293,227,15093,2900,Illinois,4102,1577,995,732,436,362,1519844,34605,18035,3772,Illinois,12186,3831,2420,949,2712,1236,2441,1333,243,225,Illinois,3182,1552,4042,1742,10826,1980,6768,2978,5257,2533,Illinois,15022,2813,321,237,1595,681,2753,1691,558,419,Illinois,1566,696,84,100,5490,1276,2885,1177,531,446,Illinois,5894,1334,1608,854,404,378,4988,1623,1177,804,Illinois,2028,2633,2677,1056,235,226,3964,1162,11364,2650,Illinois,1022,878,274,394,3446,1276,2007,936,1405,1341,Illinois,11072,2278,78,130
24,Indiana,664,505,240,277,2393,927,226,234,7181,2001,Indiana,1219,636,511,549,64,115,388,387,9076,2074,Indiana,2415,1100,635,663,43,74,26428,4463,793221,24554,Indiana,1246,785,916,554,12758,2997,738,617,259,330,Indiana,1101,551,347,259,10929,3027,710,453,1376,1010,Indiana,4283,2267,40,45,102,162,877,481,48,80,Indiana,1449,1151,871,707,1579,631,1581,822,152,195,Indiana,9993,2656,399,305,581,602,3814,1468,457,385,Indiana,123,161,1294,824,392,397,3381,1403,6457,1930,Indiana,395,366,113,140,3954,2083,1040,801,528,357,Indiana,3350,1660,139,211
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Iowa,343,402,201,237,2010,850,812,589,4962,1459,Iowa,2337,952,167,275,0,221,0,221,3150,1516,Iowa,1746,1219,18,33,64,96,13084,3369,835,443,Iowa,351987,13019,2489,877,475,434,483,466,85,116,Iowa,268,365,120,129,1004,486,5086,1333,445,373,Iowa,3945,1513,281,328,7931,2354,2088,1805,1195,1036,Iowa,124,141,21,31,1489,926,2052,1065,900,638,Iowa,1174,648,393,280,627,514,635,467,86,126,Iowa,61,101,479,287,3708,1652,701,716,4659,1904,Iowa,691,566,214,282,322,405,1480,1064,196,330,Iowa,4081,1453,879,542
27,Kansas,1048,915,0,240,2101,990,1404,1008,6823,2647,Kansas,4050,1517,736,887,81,105,0,240,2879,1303,Kansas,1571,1182,85,141,40,46,1488,833,763,612,Kansas,1094,619,382897,17210,725,564,1358,640,0,240,Kansas,353,416,33,60,1343,815,1100,745,553,489,Kansas,20085,3755,184,183,1193,542,948,930,211,272,Kansas,419,462,813,489,868,703,2036,904,300,435,Kansas,1673,923,6720,1975,361,358,746,600,0,240,Kansas,18,31,1360,935,196,166,1743,1390,6452,2133,Kansas,38,66,0,240,895,511,754,519,222,298,Kansas,459,440,1009,723
28,Kentucky,761,449,261,315,1106,649,1616,1203,3909,1384,Kentucky,919,655,400,434,99,166,236,303,9787,2567,Kentucky,3947,1621,796,688,0,270,3529,1644,13212,3965,Kentucky,700,588,135,146,519666,22923,2072,1107,0,270,Kentucky,598,403,291,365,1967,1118,986,709,1698,1231,Kentucky,2291,1782,228,400,43,73,293,303,52,91,Kentucky,1295,918,552,387,1019,612,2855,1236,72,125,Kentucky,15132,3386,391,365,100,120,1009,544,0,270,Kentucky,0,270,1547,780,0,270,9452,2543,6285,2299,Kentucky,0,270,0,270,2626,1108,1763,1131,3758,1783,Kentucky,681,364,0,270
29,Louisiana,2979,1858,1500,1444,735,579,2882,962,6029,2288,Louisiana,787,511,231,297,0,278,175,216,5246,1626,Louisiana,4071,1409,510,527,98,157,949,733,413,286,Louisiana,330,419,1815,962,790,821,612837,25816,267,434,Louisiana,1037,904,798,679,1408,1141,57,109,7881,2388,Louisiana,1322,777,0,278,62,107,818,842,0,278,Louisiana,487,541,48,81,1580,1089,3157,1399,0,278,Louisiana,1669,987,1600,1049,0,278,499,324,0,278,Louisiana,0,278,997,616,91,145,1880,976,15756,3365,Louisiana,50,98,155,263,1747,1108,1178,930,142,180,Louisiana,272,317,155,239
30,Maine,0,229,284,461,365,342,254,347,3072,1701,Maine,869,717,2161,754,0,229,358,368,3541,1493,Maine,1298,1508,94,126,35,43,261,219,176,167,Maine,65,116,0,229,297,288,91,155,144489,7569,Maine,1209,1117,6661,1812,357,362,23,38,62,90,Maine,149,181,29,49,80,90,65,114,4034,1176,Maine,871,1015,177,221,2880,1677,530,400,0,229,Maine,1151,794,0,229,234,329,674,376,0,229,Maine,518,436,172,213,68,110,343,324,1298,688,Maine,181,202,255,329,1419,848,149,186,70,73,Maine,102,181,0,229
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
