,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 46 through 48.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114
40,Nebraska,313,335,191,185,3045,1758,681,759,4105,1302,Nebraska,3277,1286,387,334,0,218,0,218,971,715,Nebraska,403,423,579,756,653,577,716,332,884,719,Nebraska,7666,2028,4416,1514,39,83,450,563,0,218,Nebraska,372,499,75,84,934,583,1647,813,648,711,Nebraska,3315,1329,486,299,246324,10993,880,606,140,230,Nebraska,0,218,230,241,662,504,343,335,109,115,Nebraska,924,963,1735,926,637,453,131,157,101,117,Nebraska,337,437,127,178,2487,753,422,504,2391,829,Nebraska,275,274,52,94,217,236,1010,816,59,96,Nebraska,1250,822,1196,546
41,Nevada,1234,1561,480,438,6981,2417,418,677,53489,7163,Nevada,3871,1682,378,361,282,375,132,220,3356,1238,Nevada,1114,709,1584,997,1920,1207,4268,2020,629,534,Nevada,1880,1062,290,314,388,409,233,263,312,454,Nevada,1333,847,691,645,6035,2405,1099,663,818,696,Nevada,1369,755,392,351,595,782,373819,17572,326,334,Nevada,1028,670,2338,1624,4136,1644,653,454,247,313,Nevada,2050,1037,865,892,3119,1857,1561,1080,263,435,Nevada,155,149,251,258,107,178,344,216,6609,2346,Nevada,2881,1340,0,298,735,610,4275,1662,0,298,Nevada,873,631,462,395
42,New Hampshire,203,321,0,253,451,402,229,373,1500,774,New Hampshire,243,225,3754,1506,64,69,296,313,2817,938,New Hampshire,1001,578,295,343,20,34,1556,1524,0,253,New Hampshire,286,329,83,136,96,130,0,253,4786,2046,New Hampshire,279,238,17754,3098,576,786,0,253,30,52,New Hampshire,274,438,19,31,0,253,505,478,133140,8506,New Hampshire,903,549,0,253,1882,630,308,337,0,253,New Hampshire,994,884,0,253,249,265,1194,629,43,72,New Hampshire,747,756,316,337,21,36,167,213,825,671,New Hampshire,301,275,3772,1312,1527,1676,560,389,0,253,New Hampshire,295,349,0,253
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,
45,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,,Colorado,,Connecticut,,Delaware,,District of Columbia ,,Florida,,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Puerto Rico,,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,,Wisconsin,,Wyoming,
46,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,New Jersey,824,672,175,214,426,320,215,180,5407,1637,New Jersey,917,822,2973,1592,1494,740,101,121,12129,2311,New Jersey,2647,1268,233,227,47,76,1630,610,1396,845,New Jersey,53,91,669,504,604,487,628,479,606,428,New Jersey,4879,1658,4948,1972,1934,1575,509,443,102,146,New Jersey,382,451,0,277,88,141,643,557,1199,1122,New Jersey,735358,23881,355,591,52294,6516,4287,1911,242,313,New Jersey,1850,713,308,287,156,202,23391,3861,2179,856,New Jersey,795,630,695,626,210,348,1581,1329,1976,698,New Jersey,248,240,649,820,5286,1857,2491,1903,0,277,New Jersey,1053,783,0,277
49,New Mexico,413,658,235,310,11013,3108,159,199,9323,2084,New Mexico,5273,1607,0,281,39,69,118,140,2661,1123,New Mexico,476,345,341,364,834,849,1231,612,609,434,New Mexico,257,207,76,125,506,512,102,129,476,440,New Mexico,607,519,701,721,478,295,913,792,608,277,New Mexico,1320,888,21,42,317,313,2411,1016,155,194,New Mexico,656,568,233348,12328,808,501,985,705,297,390,New Mexico,1148,652,540,367,1264,616,1372,1046,182,202,New Mexico,49,81,621,513,85,139,485,416,13788,2730,New Mexico,1272,835,0,281,1393,729,1860,1346,57,137,New Mexico,859,605,28,46
50,New York,1265,544,3340,1861,3033,1578,618,399,21844,3870,New York,3837,1461,11674,2188,706,376,5277,2197,34951,4985,New York,8570,2053,1170,566,936,734,8569,2284,2350,1180,New York,446,298,964,663,1668,594,1441,927,2366,841,New York,8332,2046,16390,2653,4188,1419,1570,951,404,313,New York,2549,962,376,300,1671,1465,1607,889,2635,862,New York,32988,4872,1363,523,1839382,36467,12468,2537,0,273,New York,6321,1653,654,511,2423,1039,22598,3110,5580,1823,New York,2063,688,2735,859,196,203,1979,920,7824,1883,New York,823,537,5617,1881,9609,2537,3231,942,703,362,New York,2209,1065,72,88
51,North Carolina,3817,1234,961,571,3613,1331,2316,1461,15680,3435,North Carolina,3198,1508,4336,1095,2771,2390,3833,1380,44954,5828,North Carolina,17856,2947,2961,1608,480,411,5387,1533,4970,2311,North Carolina,569,403,3145,2112,2975,1197,3107,1323,1699,858,North Carolina,14508,2773,5669,1917,10995,3071,2017,1278,1960,1304,North Carolina,2756,1163,813,690,581,548,820,628,2185,1140,North Carolina,13319,3082,643,637,30206,4599,1190755,27271,503,461,North Carolina,13059,3321,1065,601,1970,1325,14055,2649,1224,958,North Carolina,2281,1546,25411,4771,0,287,8753,1809,12478,3202,North Carolina,1427,932,2079,1318,33089,4675,3250,1500,4470,1936,North Carolina,1901,1232,92,161
52,North Dakota,0,203,31,39,382,295,62,118,1340,651,North Dakota,1367,847,0,203,0,203,0,203,908,761,North Dakota,229,347,41,64,77,111,515,512,148,152,North Dakota,166,193,254,291,0,203,0,203,0,203,North Dakota,16,26,44,73,145,186,8059,1619,44,73,North Dakota,347,400,1119,634,423,308,457,400,0,203,North Dakota,268,312,164,155,202,212,0,203,80596,4993,North Dakota,73,118,0,203,151,181,26,43,0,203,North Dakota,0,203,0,203,2217,804,82,115,1452,945,North Dakota,300,312,0,203,442,386,402,298,0,203,North Dakota,286,270,160,192
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Ohio,1544,819,1100,1183,3007,1211,435,515,12056,2540,Ohio,2448,1117,784,491,310,469,599,375,16019,2524,Ohio,6119,1692,199,179,182,222,9866,1915,12761,2324,Ohio,1679,1409,1221,670,13237,2952,762,422,353,235,Ohio,3618,1580,2392,1103,15671,2682,1810,1184,951,913,Ohio,3468,1103,110,181,1545,984,1363,671,958,669,Ohio,3080,1691,754,611,6577,1771,6441,1939,647,383,Ohio,1517079,30309,823,470,2302,1733,14516,3103,1747,1255,Ohio,0,265,3117,1773,73,123,5393,1578,9074,2771,Ohio,610,520,714,502,5506,1505,1410,678,7241,2113,Ohio,2415,1157,637,599
55,Oklahoma,744,703,1496,1020,4193,1503,7690,1710,15936,4097,Oklahoma,5671,2275,0,246,0,246,48,80,3485,1129,Oklahoma,3084,1637,599,522,68,117,2896,1476,2249,1468,Oklahoma,159,160,7584,1694,178,171,1207,695,107,125,Oklahoma,1329,1156,569,449,544,365,768,664,935,546,Oklahoma,7386,3070,889,554,968,682,1280,972,0,246,Oklahoma,423,497,3509,1299,1791,880,1652,936,159,163,Oklahoma,2698,1126,575954,19041,414,399,1568,966,106,187,Oklahoma,0,246,818,667,365,318,1399,810,27538,3284,Oklahoma,992,555,375,606,1877,886,2285,1276,260,228,Oklahoma,772,502,211,206
56,Oregon,889,674,3029,1278,7024,2055,425,396,35942,4657,Oregon,3479,1201,309,236,55,93,269,347,1623,1132,Oregon,1167,751,2040,952,7495,1968,1065,521,1068,1532,Oregon,356,359,1810,1125,159,190,302,311,337,390,Oregon,458,496,1823,1099,2157,1302,1320,751,232,376,Oregon,751,567,1610,883,284,221,3658,1152,161,268,Oregon,460,410,1800,882,1813,671,1344,1216,0,273,Oregon,1140,524,1040,639,553295,17800,1912,1048,0,273,Oregon,73,128,77,124,146,235,1931,1379,2696,1060,Oregon,2135,860,282,306,3051,1595,23144,2923,0,273,Oregon,317,273,850,571
57,Pennsylvania,861,718,1063,847,4251,1413,2428,1834,11173,2615,Pennsylvania,1288,611,4962,1347,7970,1789,653,326,13564,2506,Pennsylvania,6493,1696,870,849,48,64,5432,1878,3907,1905,Pennsylvania,817,496,767,495,2998,1727,1869,865,1450,1246,Pennsylvania,21147,3037,7057,1456,3820,1151,2431,1411,431,390,Pennsylvania,1174,628,401,457,1909,1757,2016,1198,1766,869,Pennsylvania,39867,4249,475,355,47476,4774,7891,2004,251,314,Pennsylvania,12037,2586,891,584,849,424,1265210,27546,5988,2310,Pennsylvania,936,611,2874,1439,162,204,2332,1048,7471,2526,Pennsylvania,452,323,492,342,12913,2770,2257,898,3918,1806,Pennsylvania,1768,962,545,504
58,Puerto Rico,121,141,0,283,27,45,0,283,1459,1192,Puerto Rico,82,140,2463,1121,60,103,409,508,6187,1741,Puerto Rico,971,640,0,283,89,72,686,404,0,283,Puerto Rico,0,283,0,283,118,182,68,110,0,283,Puerto Rico,417,431,3077,1196,275,380,0,283,0,283,Puerto Rico,138,209,0,283,0,283,0,283,0,283,Puerto Rico,3249,1501,0,283,5069,1273,56,97,0,283,Puerto Rico,0,283,0,283,242,295,1358,785,270481,12527,Puerto Rico,210,198,0,283,0,283,0,283,1655,1086,Puerto Rico,0,283,0,283,171,209,205,336,0,283,Puerto Rico,274,337,0,283
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Rhode Island,0,285,158,258,137,168,0,285,1243,681,Rhode Island,0,285,2396,766,74,122,377,558,2703,1216,Rhode Island,306,350,246,355,0,285,167,193,134,170,Rhode Island,81,134,0,285,214,200,253,365,235,234,Rhode Island,428,336,9638,2457,538,692,128,208,0,285,Rhode Island,346,428,0,285,0,285,143,240,625,363,Rhode Island,3008,1419,176,213,4479,1369,1758,1171,0,285,Rhode Island,560,661,0,285,55,88,1201,596,239,291,Rhode Island,99928,8998,638,533,78,128,251,235,51,95,Rhode Island,78,127,428,307,490,334,300,303,32,54,Rhode Island,0,285,0,285
61,South Carolina,2337,689,507,404,1090,462,741,503,7583,2133,South Carolina,1486,752,2562,1255,616,483,2229,1920,18756,3719,South Carolina,17307,3546,1861,1340,303,228,3988,1884,1531,849,South Carolina,718,735,709,454,2462,1248,1628,670,575,435,South Carolina,5577,1731,3019,2044,4280,1685,534,338,2737,1759,South Carolina,2323,985,234,206,285,245,1325,1074,667,588,South Carolina,5132,2074,379,284,9593,2721,31367,4575,66,109,South Carolina,4892,1468,692,456,1713,1995,3768,1079,767,450,South Carolina,304,333,500277,20455,717,795,5640,2155,6999,2331,South Carolina,300,261,73,120,8131,2538,829,635,1869,1114,South Carolina,917,561,232,337
62,South Dakota,135,238,86,96,1037,680,246,265,1529,767,South Dakota,641,330,0,221,0,221,53,92,1056,884,South Dakota,673,966,106,146,0,221,638,526,0,221,South Dakota,2515,1028,457,464,60,112,650,814,0,221,South Dakota,60,100,113,134,278,305,2007,589,437,606,South Dakota,240,283,180,234,3855,1707,724,643,0,221,South Dakota,90,150,1068,1410,299,315,841,731,1832,769,South Dakota,407,548,90,122,118,123,112,108,336,329,South Dakota,67,111,200,190,97554,6179,97,162,1233,658,South Dakota,267,373,0,221,180,168,910,1009,0,221,South Dakota,732,555,1029,817
63,Tennessee,11797,2448,557,485,2918,1681,3667,1370,11389,3049,Tennessee,3176,1600,797,536,543,438,637,741,26501,3956,Tennessee,17655,2550,596,393,599,993,7968,2056,4229,1710,Tennessee,87,143,1331,875,9942,2266,4070,1625,256,299,Tennessee,2315,993,1714,1006,5810,1998,668,506,9723,2461,Tennessee,2368,880,222,223,330,314,246,228,418,504,Tennessee,2789,1595,662,577,4798,1348,9656,2318,0,281,Tennessee,5439,1592,1055,573,690,624,3168,1191,259,257,Tennessee,362,357,3959,1477,289,237,798777,28372,8236,2879,Tennessee,272,369,483,348,5630,1599,2147,1238,829,424,Tennessee,3658,1746,112,187
64,Texas,8086,2987,7239,3024,16002,4140,16860,3839,78310,8311,Texas,18577,3795,3056,1646,657,512,906,646,38595,4971,Texas,17625,4400,4691,2672,987,569,19760,3534,10187,2858,Texas,6026,2228,10339,2691,6141,1960,40272,6200,1065,1005,Texas,8905,3306,5901,1991,14056,4113,10285,3026,9219,2684,Texas,15842,3853,1808,1622,3515,1338,5716,1612,2790,2699,Texas,7239,2190,16772,3832,18967,4684,11940,2762,404,282,Texas,12032,2342,27675,4392,4097,1520,9467,2311,3807,1857,Texas,1522,1085,3791,1141,2144,1688,9729,2937,3800840,54379,Texas,5339,1647,27,45,14537,3689,10670,3529,1044,650,Texas,8128,2843,2789,1352
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Utah,877,908,1106,647,7588,2682,0,261,22204,4545,Utah,5066,1750,266,231,83,135,69,118,5130,1722,Utah,1542,1075,1200,631,7925,2344,1270,833,1048,681,Utah,799,1292,1514,1080,840,544,348,410,530,513,Utah,475,430,792,617,1123,731,887,493,1075,1032,Utah,990,667,1618,1182,929,704,6980,2032,316,313,Utah,778,525,1209,944,1785,1130,370,232,127,156,Utah,2155,1161,152,195,1957,734,311,257,97,159,Utah,204,286,215,223,366,384,1455,785,5995,1947,Utah,369588,14581,209,276,1393,1065,6777,2540,670,900,Utah,1900,1680,1195,571
67,Vermont,122,198,36,59,128,176,110,183,1558,891,Vermont,518,569,1408,728,0,208,58,76,1353,702,Vermont,418,377,23,40,86,144,525,440,0,208,Vermont,0,208,0,208,30,49,66,78,680,549,Vermont,310,264,3897,921,125,164,0,208,0,208,Vermont,46,75,140,231,9,19,0,208,2267,639,Vermont,749,411,229,238,4205,1158,923,569,16,29,Vermont,43,78,0,208,203,311,1349,829,0,208,Vermont,92,130,81,105,0,208,0,208,251,206,Vermont,0,208,63329,5697,465,259,323,280,138,148,Vermont,56,69,84,122
68,Virginia,4288,1449,2684,1549,3605,1480,1658,1319,17437,3212,Virginia,6681,2273,3906,1333,1252,737,9139,2695,22575,3334,Virginia,10080,2711,3864,1691,1272,716,7206,1927,2466,1150,Virginia,559,397,1714,1066,2119,1069,1616,831,842,633,Virginia,29066,4163,5698,2206,5355,2328,1882,917,888,905,Virginia,2294,1130,237,269,1215,879,1672,1344,652,409,Virginia,8564,2232,1448,1261,18574,3498,24506,4092,135,228,Virginia,6101,2260,1624,897,1715,927,16814,2969,1889,1277,Virginia,754,552,6587,1945,172,226,7613,2361,12900,2541,Virginia,1551,881,553,600,915263,24627,3736,1101,5484,2284,Virginia,997,548,687,632
69,Washington,489,444,5941,1866,7581,1859,1017,741,43361,5512,Washington,7413,1990,1523,965,225,343,1028,572,8274,2349,Washington,3867,1808,4008,1758,8806,2179,3585,1301,2206,935,Washington,2331,1603,1582,1493,532,626,1148,669,566,465,Washington,1831,1098,1806,717,4125,1942,1483,746,850,575,Washington,2457,1068,4215,1396,409,277,6809,2301,592,749,Washington,1348,744,2292,1348,3700,1202,3925,1224,345,338,Washington,1898,783,1636,740,28849,4217,3548,1633,128,155,Washington,1739,1890,960,554,391,370,2213,1035,8851,2552,Washington,2924,975,391,430,4346,1519,921085,23229,123,176,Washington,3043,1381,571,378
70,West Virginia,315,442,507,457,309,271,0,265,986,645,West Virginia,529,543,259,227,342,322,248,152,2374,854,West Virginia,1433,995,0,265,0,265,695,557,548,309,West Virginia,116,139,371,413,3533,1426,325,326,36,68,West Virginia,7557,2273,409,408,1572,1412,75,115,0,265,West Virginia,1103,1255,0,265,0,265,97,158,59,95,West Virginia,745,468,210,240,1604,1116,2337,1041,83,141,West Virginia,7706,2049,293,335,93,124,3657,935,250,319,West Virginia,445,481,378,311,0,265,1303,932,1216,683,West Virginia,78,96,357,313,7378,1707,445,163,178896,9646,West Virginia,80,67,0,265
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Wisconsin,302,262,158,124,2572,1374,516,304,5063,1423,Wisconsin,1465,612,468,376,210,249,131,156,4703,1493,Wisconsin,1404,780,426,570,435,322,24130,4257,1791,853,Wisconsin,4036,1317,921,687,576,420,790,481,141,141,Wisconsin,967,665,715,392,7235,1715,16489,2201,611,384,Wisconsin,1639,915,95,128,154,141,925,623,621,800,Wisconsin,1115,555,468,366,2033,845,1770,882,349,354,Wisconsin,1103,529,388,317,415,291,2570,1049,959,1095,Wisconsin,9,16,291,400,140,131,2476,1200,4645,1206,Wisconsin,681,486,42,69,2745,902,593,469,59,104,Wisconsin,723651,21577,793,598
73,Wyoming,29,49,47,83,2223,1236,165,294,3185,1441,Wyoming,3602,1371,0,259,0,259,66,118,524,446,Wyoming,353,404,203,230,820,522,330,381,88,147,Wyoming,97,166,369,457,402,493,122,198,416,587,Wyoming,232,393,140,247,812,505,542,492,892,1053,Wyoming,482,297,2296,1141,1082,524,264,254,0,259,Wyoming,0,259,363,361,277,304,456,491,271,315,Wyoming,554,653,334,394,175,242,206,211,0,259,Wyoming,0,259,0,259,696,557,674,558,1409,939,Wyoming,2074,988,0,259,203,263,1402,1256,0,259,Wyoming,150,108,74171,6158
74,Footnotes:,,,,,,,,,,,Footnotes:,,,,,,,,,,,Footnotes:,,,,,,,,,,,Footnotes:,,,,,,,,,,,Footnotes:,,,,,,,,,,,Footnotes:,,,,,,,,,,,Footnotes:,,,,,,,,,,,Footnotes:,,,,,,,,,,,Footnotes:,,,,,,,,,,,Footnotes:,,,,,,,,,,,Footnotes:,,,,
75,MOE - Margin of error based on 90% confidence interval,,,,,,,,,,,MOE - Margin of error based on 90% confidence interval,,,,,,,,,,,MOE - Margin of error based on 90% confidence interval,,,,,,,,,,,MOE - Margin of error based on 90% confidence interval,,,,,,,,,,,MOE - Margin of error based on 90% confidence interval,,,,,,,,,,,MOE - Margin of error based on 90% confidence interval,,,,,,,,,,,MOE - Margin of error based on 90% confidence interval,,,,,,,,,,,MOE - Margin of error based on 90% confidence interval,,,,,,,,,,,MOE - Margin of error based on 90% confidence interval,,,,,,,,,,,MOE - Margin of error based on 90% confidence interval,,,,,,,,,,,MOE - Margin of error based on 90% confidence interval,,,,
76,"Source: U.S. Census Bureau, 2007 American Community Survey",,,,,,,,,,,"Source: U.S. Census Bureau, 2007 American Community Survey",,,,,,,,,,,"Source: U.S. Census Bureau, 2007 American Community Survey",,,,,,,,,,,"Source: U.S. Census Bureau, 2007 American Community Survey",,,,,,,,,,,"Source: U.S. Census Bureau, 2007 American Community Survey",,,,,,,,,,,"Source: U.S. Census Bureau, 2007 American Community Survey",,,,,,,,,,,"Source: U.S. Census Bureau, 2007 American Community Survey",,,,,,,,,,,"Source: U.S. Census Bureau, 2007 American Community Survey",,,,,,,,,,,"Source: U.S. Census Bureau, 2007 American Community Survey",,,,,,,,,,,"Source: U.S. Census Bureau, 2007 American Community Survey",,,,,,,,,,,"Source: U.S. Census Bureau, 2007 American Community Survey",,,,
