GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",23,"    Other Conventional Water Activities 3/",6204,6328,6613,6718,6306,5792
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",24,"   Multi-use Apparel and Accessories (Conventional) 4/",88734,86750,93615,95280,92591,94087
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",25,"  Other Outdoor Recreation",241077,248198,257630,258563,255631,251753
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",26,"   Amusement Parks/Water Parks",8028,8264,8558,9140,9606,10309
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",27,"   Festivals/Sporting Events/Concerts",6751,7268,8006,7935,8588,8553
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",28,"   Field Sports",13221,13335,14978,15432,14841,14268
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",29,"   Game Areas (includes Golfing and Tennis)",34422,35413,36929,37129,34941,33336
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",30,"   Guided Tours/Outfitted Travel",118271,122994,125086,122944,121879,119662
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",31,"    Air and Land Guided Tours/Outfitted Travel",69080,69958,69810,69395,67099,65210
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",32,"    Water Guided Tours/Outfitted Travel (includes Boating and Fishing Charters)",49191,53036,55276,53548,54780,54452
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",33,"   Productive Activities (includes Gardening)",8707,9081,9409,9971,10146,10548
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",34,"   Other Outdoor Recreation Activities 5/",47848,47645,50695,51859,51466,50921
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",35,"   Multi-use Apparel and Accessories (Other) 4/",3828,4199,3971,4154,4164,4155
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",36," Supporting Outdoor Recreation",1253610,1307801,1305274,1481892,1533207,1538778
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",37,"   Construction",30917,28202,26535,25246,26183,26453
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",38,"   Local Trips 6/",132067,138706,142016,155223,152714,172244
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",39,"   Travel and Tourism 7/",1006373,1050861,1040753,1198127,1243496,1227665
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",40,"    Food and Beverages",103025,90613,91240,105371,105209,112573
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",41,"    Lodging",272824,294777,284316,335622,332014,302230
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",42,"    Shopping and Souvenirs",66209,67660,63520,74813,83414,91920
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",43,"    Transportation",564315,597811,601676,682321,722859,720941
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",44,"   Government Expenditures",84253,90032,95971,103296,110814,112417
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",45,"    Federal Government",36105,38721,39137,39359,41664,41685
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",46,"    State and Local Government",48149,51311,56833,63938,69149,70732
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",1,"Total Outdoor Recreation",7062225,7155316,7336986,7822918,8162301,8654150
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",2," Total Core Outdoor Recreation",3134622,3223593,3303057,3452983,3584118,3802651
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",3,"  Conventional Outdoor Recreation",1771072,1847691,1876689,1993520,2061357,2198635
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",4,"   Bicycling",33079,33735,33296,31993,35699,35886
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",5,"   Boating/Fishing",208572,212389,224321,242994,260294,275125
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",6,"    Canoeing/Kayaking",5658,5658,5974,6437,7032,7255
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",7,"    Fishing (excludes Boating)",28852,28788,29028,28679,29224,29923
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",8,"    Sailing",12707,13087,14141,15357,16507,16919
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",9,"    Other Boating",161354,164855,175178,192521,207531,221028
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",10,"   Climbing/Hiking/Tent Camping",57500,61225,63155,66687,68937,68977
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",11,"   Equestrian",88382,91286,100180,105162,112994,126747
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",12,"   Hunting/Shooting/Trapping",136706,158808,145094,162221,182195,239161
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",13,"    Hunting/Trapping",53060,61260,55385,64920,73132,97989
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",14,"    Shooting (includes Archery)",83646,97548,89710,97301,109064,141173
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",15,"   Motorcycling/ATVing",94770,92230,94446,102422,98727,100996
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",16,"   Recreational Flying",16448,16209,17420,17884,18726,18072
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",17,"   RVing",309531,326647,354703,390672,402204,410065
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",18,"   Snow Activities",28867,28230,30384,31714,32376,33605
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",19,"    Skiing/Snowboarding",19584,19546,20884,21706,22082,23325
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",20,"    Other Snow Activities (includes Snowmobiling) 1/",9283,8684,9500,10008,10294,10280
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",21,"   Other Conventional Outdoor Recreation Activities",129058,130708,133394,139849,143444,146699
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",22,"    Other Conventional Air and Land Activities 2/",94208,97571,98408,102185,104770,108136
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",23,"    Other Conventional Water Activities 3/",34850,33137,34986,37664,38674,38563
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",24,"   Multi-use Apparel and Accessories (Conventional) 4/",668159,696222,680296,701922,705761,743302
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",25,"  Other Outdoor Recreation",1363551,1375903,1426367,1459463,1522761,1604016
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",26,"   Amusement Parks/Water Parks",56519,58529,61115,66172,70961,77969
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",27,"   Festivals/Sporting Events/Concerts",286660,303700,339110,340019,371357,393827
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",28,"   Field Sports",49941,49121,51345,53356,55930,56931
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",29,"   Game Areas (includes Golfing and Tennis)",407315,397977,394115,391317,403440,406973
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",30,"   Guided Tours/Outfitted Travel",243008,239663,250859,257773,261646,292171
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",31,"    Air and Land Guided Tours/Outfitted Travel",154396,152726,160394,166461,170486,185787
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",32,"    Water Guided Tours/Outfitted Travel (includes Boating and Fishing Charters)",88611,86937,90465,91312,91160,106384
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",33,"   Productive Activities (includes Gardening)",97380,103037,105046,110761,113817,123043
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",34,"   Other Outdoor Recreation Activities 5/",153843,152167,158269,172150,178583,185712
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",35,"   Multi-use Apparel and Accessories (Other) 4/",68886,71708,66509,67914,67026,67391
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",36," Supporting Outdoor Recreation",3927602,3931723,4033930,4369935,4578183,4851498
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",37,"   Construction",89630,94735,79770,71464,80006,88373
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",38,"   Local Trips 6/",527787,539804,573184,608169,622689,643413
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",39,"   Travel and Tourism 7/",2898072,2848208,2917502,3199314,3365970,3584545
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",40,"    Food and Beverages",545324,456788,511478,560855,590065,640672
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",41,"    Lodging",949530,991269,921575,1030806,1094513,1220224
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",42,"    Shopping and Souvenirs",306259,314441,334916,344407,349980,361935
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",43,"    Transportation",1096959,1085709,1149533,1263245,1331412,1361714
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",44,"   Government Expenditures",412113,448976,463474,490988,509519,535168
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",45,"    Federal Government",115835,126193,120091,120817,128234,133043
 "04000","Arizona",6,SAOACTVA,"Thousands of dollars",46,"    State and Local Government",296278,322783,343383,370171,381285,402125
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",1,"Total Outdoor Recreation",2456988,2543247,2602423,2736062,2853584,2887050
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",2," Total Core Outdoor Recreation",1330616,1382591,1413065,1483363,1546497,1610115
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",3,"  Conventional Outdoor Recreation",938672,986078,1009188,1073123,1123819,1169862
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",4,"   Bicycling",12532,12501,12637,12825,14834,15506
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",5,"   Boating/Fishing",192401,204288,215006,232080,245997,245991
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",6,"    Canoeing/Kayaking",5259,5743,6096,6648,7535,7508
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",7,"    Fishing (excludes Boating)",41158,39766,36276,36113,37591,34949
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",8,"    Sailing",8233,8537,9579,10454,11414,12056
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",9,"    Other Boating",137750,150243,163055,178865,189458,191477
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",10,"   Climbing/Hiking/Tent Camping",31131,31857,32887,34198,35025,34441
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",11,"   Equestrian",95381,100632,111112,116100,121254,131499
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",12,"   Hunting/Shooting/Trapping",89210,104086,103445,121530,116432,136219
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",13,"    Hunting/Trapping",42355,48163,47561,58884,55202,64708
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",14,"    Shooting (includes Archery)",46855,55923,55884,62647,61230,71511
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",15,"   Motorcycling/ATVing",55825,55816,55625,59021,61557,68216
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",16,"   Recreational Flying",7450,8241,8673,8748,8553,8600
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",17,"   RVing",94841,101286,107751,113252,116271,125510
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",18,"   Snow Activities",4815,5047,5298,5119,4420,4871
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",19,"    Skiing/Snowboarding",1838,1947,2166,2151,1955,1968
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",20,"    Other Snow Activities (includes Snowmobiling) 1/",2977,3100,3131,2968,2464,2903
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",21,"   Other Conventional Outdoor Recreation Activities",68422,70175,72055,78273,97225,104523
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",22,"    Other Conventional Air and Land Activities 2/",54386,56222,56830,62038,81566,89419
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",23,"    Other Conventional Water Activities 3/",14036,13953,15225,16235,15660,15104
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",24,"   Multi-use Apparel and Accessories (Conventional) 4/",286664,292149,284698,291976,302250,294485
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",25,"  Other Outdoor Recreation",391943,396513,403877,410240,422679,440253
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",26,"   Amusement Parks/Water Parks",30985,31325,32159,33827,35010,36367
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",27,"   Festivals/Sporting Events/Concerts",29684,34218,35777,34192,37789,40479
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",28,"   Field Sports",22743,22433,23555,25543,30374,31890
