,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 45 through 47.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129
35,Massachusetts,6580641,3587,5752166,19793,626380,17354,142577,7863,636,622,Massachusetts,890,600,1972,979,394,340,12770,2994,980,438,Massachusetts,10525,2062,506,505,379,219,12890,2568,2789,1129,Massachusetts,1108,564,188,164,2886,1041,677,497,151,251,Massachusetts,565,429,52,87,1556,742,3907,1349,2381,895,Massachusetts,,,1337,680,966,367,155,186,453,218,Massachusetts,49,81,182,189,787,544,13331,2144,8046,1874,Massachusetts,521,364,19467,2432,2514,1003,81,133,1829,772,Massachusetts,297,206,1528,1359,8236,1924,6863,1317,2477,1120,Massachusetts,194,326,823,342,3694,1078,1027,666,2534,913,Massachusetts,4098,1470,1653,696,385,569,584,445,264,404,Massachusetts,59518,6623,4056,1883,121,156,55341,6212
36,Michigan,9778980,4263,8330990,24803,1268105,23226,133981,8566,2341,1013,Michigan,1152,685,7168,3100,906,559,8085,1721,2363,967,Michigan,798,506,114,164,274,282,13146,3306,4270,1652,Michigan,291,238,242,371,10047,1702,10976,2324,993,495,Michigan,805,608,3409,1388,1284,662,261,218,2201,1094,Michigan,1720,764,,,1127,512,922,671,2206,695,Michigan,218,171,113,137,1354,715,446,342,1617,721,Michigan,1318,685,5731,1680,3912,1056,265,202,11318,2251,Michigan,705,307,811,440,2739,686,68,114,1822,797,Michigan,66,77,3259,997,8638,2574,819,534,60,120,Michigan,3057,855,2146,839,353,279,4768,1111,1277,862,Michigan,45904,4348,782,797,422,306,44700,4217
37,Minnesota,5315228,2787,4536303,18312,653012,17074,101042,6534,1299,919,Minnesota,523,312,3065,861,375,222,8086,2263,3565,1095,Minnesota,696,360,0,139,310,353,2372,752,2235,1482,Minnesota,1277,1179,575,531,5896,1405,2026,1057,7220,1774,Minnesota,924,513,57,103,791,858,187,136,1841,2080,Minnesota,814,434,2212,822,,,202,323,1709,750,Minnesota,1257,900,992,477,932,542,0,139,1038,546,Minnesota,322,224,1849,732,1745,956,6672,1485,2635,1248,Minnesota,1212,894,781,513,1106,570,299,226,1705,1448,Minnesota,3442,990,1738,1141,4001,1244,429,312,77,126,Minnesota,1037,434,1685,678,0,139,17618,2358,213,213,Minnesota,24871,3235,134,136,234,283,24503,3179
38,Mississippi,2947696,2744,2529377,17940,339807,16126,73500,7080,5141,1870,Mississippi,0,198,710,509,2680,1447,4371,1070,799,426,Mississippi,106,147,0,198,97,164,4676,1396,2669,865,Mississippi,184,191,586,597,2703,933,1200,621,160,275,Mississippi,400,339,446,276,8588,2293,163,167,379,262,Mississippi,67,113,1768,1071,568,385,,,2634,1581,Mississippi,166,168,138,159,526,342,60,117,2127,1495,Mississippi,86,102,1492,660,1709,609,98,118,896,703,Mississippi,562,352,465,768,613,434,185,229,596,469,Mississippi,79,129,11643,2856,7230,2491,454,724,0,198,Mississippi,1929,1285,433,309,0,198,611,521,307,287,Mississippi,5012,1277,81,108,59,100,4872,1263
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Missouri,5951913,3866,4965459,21306,801093,19635,162930,8034,1333,768,Missouri,2186,1289,2297,741,9434,2224,10717,2409,3798,1371,Missouri,410,331,234,314,144,172,8374,1990,3451,1391,Missouri,2114,1271,596,478,22001,2893,4184,1267,5956,1324,Missouri,20218,3673,2291,1067,1178,651,996,1247,1246,717,Missouri,810,486,2964,1169,2798,1265,1110,532,,,Missouri,511,506,1999,833,836,366,35,58,960,536,Missouri,451,309,2834,918,3988,1420,636,462,3557,1317,Missouri,5298,2199,1186,899,1535,639,361,582,2856,1625,Missouri,527,542,3122,1350,9278,2841,3287,1733,318,413,Missouri,2609,1081,2312,1093,148,181,2636,999,810,452,Missouri,22431,3287,826,958,308,399,21297,2935
41,Montana,995544,947,829489,8669,126463,7466,37690,4305,31,55,Montana,726,442,1548,938,63,102,5428,2229,2135,896,Montana,0,157,0,157,0,157,1875,1029,292,270,Montana,556,572,3385,1349,542,371,163,164,415,384,Montana,224,268,367,352,0,157,225,269,33,65,Montana,97,109,822,760,481,297,32,58,447,385,Montana,,,108,149,968,499,115,177,156,198,Montana,259,178,482,371,1082,808,977,604,402,332,Montana,1018,948,2950,1687,457,362,0,157,230,304,Montana,191,142,45,40,1393,612,260,261,87,135,Montana,156,153,4783,1555,0,157,750,425,934,387,Montana,1902,524,0,157,64,109,1838,493
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Current residence in --,Population 1 year and over,,Same residence 1 year ago,,"Different residence, same state 1 year ago",,Different state of residence 1 year ago,,,,Current residence in --,Different state of residence 1 year ago (cont.),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (cont.),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (cont.),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (cont.),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (cont.),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (cont.),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (cont.),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (cont.),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (cont.),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (cont.),,,,,,,,,,Current residence in --,Abroad 1 year ago--,,,,,,,
44,,,,,,,,Total,,Alabama,,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,,Connecticut,,Delaware,,District of Columbia ,,Florida,,Georgia,,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,,,Total,,Puerto Rico,,U.S. Island Area,,Foreign Country,
45,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Nebraska,1829420,2101,1540361,9074,237937,9736,43266,4512,245,275,Nebraska,626,531,2406,1120,363,317,3438,1425,2023,791,Nebraska,0,149,0,149,0,149,1368,978,786,482,Nebraska,165,149,315,374,1193,546,290,214,6815,2803,Nebraska,3103,822,131,133,411,371,68,90,129,126,Nebraska,195,112,258,197,1489,1049,176,132,2223,836,Nebraska,108,156,,,233,178,0,149,524,363,Nebraska,158,187,318,246,874,414,497,492,563,373,Nebraska,587,408,106,113,702,528,0,149,456,381,Nebraska,2507,677,232,184,3130,1218,229,230,79,131,Nebraska,1076,758,1327,673,111,152,316,218,917,371,Nebraska,7856,1718,0,149,0,149,7856,1718
48,Nevada,2725280,3005,2105070,21984,481496,19389,124285,9956,761,724,Nevada,2161,1047,8748,2540,353,404,49978,7637,6402,2736,Nevada,143,181,373,521,468,759,3381,1488,745,477,Nevada,2053,949,1503,743,2822,1412,362,341,714,592,Nevada,1202,1085,952,651,421,296,209,286,934,689,Nevada,318,267,1235,574,1157,718,783,658,694,516,Nevada,1086,605,714,551,,,175,230,912,600,Nevada,1138,665,3521,1460,767,589,702,661,1407,791,Nevada,1520,1384,3101,1186,1601,1078,336,548,480,403,Nevada,0,200,1699,822,5484,1772,4605,1899,121,222,Nevada,1135,832,2997,1103,100,161,1046,666,766,706,Nevada,14429,2285,237,356,412,524,13780,2094
49,New Hampshire,1309203,1504,1127376,9730,125118,9101,50484,5282,0,181,New Hampshire,437,378,440,413,0,181,1514,935,572,637,New Hampshire,1345,478,0,181,101,131,2746,1312,470,324,New Hampshire,43,78,20,38,673,608,297,365,53,89,New Hampshire,102,161,284,250,7,13,6118,1749,33,57,New Hampshire,18990,3350,426,441,0,181,0,181,289,262,New Hampshire,0,181,110,136,0,181,,,591,330,New Hampshire,223,279,2905,1027,1609,1456,0,181,324,240,New Hampshire,186,266,208,299,890,561,1248,819,323,257,New Hampshire,0,181,77,133,2150,1715,557,762,2960,1339,New Hampshire,660,433,113,119,80,131,239,277,71,120,New Hampshire,6225,1675,75,123,18,30,6132,1663
50,New Jersey,8772744,4541,7929570,23298,655465,21808,130223,7649,779,509,New Jersey,359,437,1328,704,57,70,4330,1070,380,264,New Jersey,3466,1711,1921,1383,840,637,10649,2430,3002,1032,New Jersey,22,41,113,134,2052,874,1039,559,357,405,New Jersey,426,405,631,614,339,343,430,388,3474,1241,New Jersey,4907,1730,324,191,570,429,106,165,384,363,New Jersey,67,112,35,58,908,526,126,219,,,New Jersey,45,75,40495,4293,3236,1238,55,93,1452,596,New Jersey,1540,1537,760,587,23597,2976,429,410,2372,1386,New Jersey,581,644,1400,612,2509,1335,425,341,35,57,New Jersey,5024,1899,1847,1244,297,201,680,457,23,30,New Jersey,57486,5907,2574,1462,38,65,54874,5533
51,New Mexico,2060595,2119,1769341,11461,226243,12069,54693,5877,787,509,New Mexico,320,264,6391,1673,410,286,4536,1440,4780,1546,New Mexico,280,250,100,136,25,51,4707,2184,192,184,New Mexico,168,127,355,352,790,530,660,524,384,331,New Mexico,672,537,159,160,790,883,57,80,505,355,New Mexico,303,298,602,490,284,428,451,630,1216,793,New Mexico,139,162,194,220,604,853,268,259,252,271,New Mexico,,,1111,618,335,373,41,82,1178,1049,New Mexico,1076,568,932,481,822,666,0,185,325,260,New Mexico,509,547,338,274,11955,2917,1382,889,81,103,New Mexico,1560,1330,1251,575,0,185,321,514,95,100,New Mexico,10318,2657,429,466,159,154,9730,2561
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,New York,19352153,6112,17202134,34343,1723117,30910,270053,11861,1364,864,New York,4002,2016,4146,2468,247,203,24623,2557,3596,976,New York,14595,2921,477,284,3936,1392,27392,3450,7592,1925,New York,1598,734,607,472,8017,2204,3040,1128,955,658,New York,1437,906,1753,808,1083,465,1345,536,7321,1575,New York,15073,2292,5191,1445,1059,631,773,800,3310,1260,New York,421,424,78,108,600,382,2760,1059,42574,4802,New York,646,445,,,10544,2568,77,129,4625,1103,New York,1327,652,1055,716,22895,3206,3222,1538,5952,1542,New York,0,185,1279,624,11231,2384,622,489,2764,1025,New York,7939,2109,2614,840,921,689,979,507,396,370,New York,156849,9211,7321,1791,814,592,148714,9149
54,North Carolina,9640490,5097,8167830,27074,1149080,24801,273149,13136,4329,1544,North Carolina,1458,925,3493,1189,861,649,13883,2813,4790,2047,North Carolina,4914,1990,2180,1732,1801,687,26365,3750,16823,2851,North Carolina,1566,921,334,256,6378,2177,4532,2259,775,524,North Carolina,1595,748,1531,794,919,758,1259,972,9005,2221,North Carolina,3710,1158,6161,2547,1523,838,2377,1092,2623,1742,North Carolina,244,306,628,628,1627,807,754,525,11468,4262,North Carolina,1138,705,19891,3951,,,206,232,9337,2484,North Carolina,1263,753,1333,772,12179,2356,290,198,25532,4732,North Carolina,351,186,9230,2122,12638,2381,1189,1040,445,291,North Carolina,26759,4229,5915,2630,2677,985,2266,980,604,687,North Carolina,50431,5085,2025,1218,674,289,47732,4741
55,North Dakota,689838,1379,563978,6361,84294,5380,38213,3616,83,142,North Dakota,70,105,1571,788,0,141,999,460,546,293,North Dakota,65,100,0,141,70,112,950,860,98,154,North Dakota,160,148,540,521,799,523,55,77,458,316,North Dakota,161,122,22,44,18,27,98,176,232,311,North Dakota,187,281,757,571,15257,2266,72,109,1490,1346,North Dakota,1776,709,950,764,854,572,0,141,140,231,North Dakota,161,228,331,331,231,243,,,6,14,North Dakota,280,260,724,529,114,157,244,255,14,28,North Dakota,1754,822,746,694,1414,756,43,60,758,1014,North Dakota,403,309,1604,796,0,141,543,327,365,269,North Dakota,3353,1114,0,141,28,44,3325,1114
56,Ohio,11414635,5725,9735390,29715,1440815,28423,196391,9611,3705,2297,Ohio,2207,1757,4929,1912,884,604,8995,1803,3180,1230,Ohio,1355,887,1079,696,985,722,16366,2560,8052,2973,Ohio,1198,591,412,295,9510,2157,13534,2157,1039,765,Ohio,1166,617,13227,2976,2214,1011,1189,889,5026,2570,Ohio,2189,808,16336,2656,1122,597,1017,865,3026,1068,Ohio,276,292,1052,656,907,525,189,156,4703,2119,Ohio,1361,817,8732,1741,5498,1525,453,346,,,Ohio,858,417,432,307,14147,2612,435,384,2445,1029,Ohio,47,76,3542,1429,11760,2739,197,211,364,350,Ohio,3193,1055,2862,2150,7820,2219,974,725,202,210,Ohio,42039,4968,1403,910,0,182,40636,4982
57,Oklahoma,3762311,2764,3107367,14635,531347,12812,108972,6570,1030,467,Oklahoma,1279,600,2974,1435,5777,1187,8950,2184,4717,1556,Oklahoma,0,149,380,288,151,148,5011,1525,2581,935,Oklahoma,189,295,905,600,1100,487,1490,936,1088,689,Oklahoma,7065,1535,1354,898,2562,1354,167,260,750,685,Oklahoma,1233,906,1347,671,906,469,1850,752,5210,1349,Oklahoma,798,710,300,208,1101,799,549,383,1523,748,Oklahoma,1244,712,1981,936,1961,912,308,340,1148,533,Oklahoma,,,1261,771,494,285,0,149,569,346,Oklahoma,108,154,2471,1035,25508,2960,2588,1465,197,316,Oklahoma,1749,829,1574,575,368,298,1061,758,45,68,Oklahoma,14625,2231,0,149,257,198,14368,2262
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Oregon,3857465,2984,3158450,19251,560673,17729,118925,7769,373,425,Oregon,2513,953,7954,2060,165,158,31862,3767,4472,2133,Oregon,381,457,0,193,696,919,1660,620,1032,523,Oregon,2501,813,5093,1880,1676,1192,1380,1000,834,781,Oregon,556,534,202,261,227,229,446,353,457,422,Oregon,760,604,570,338,1792,799,186,237,403,269,Oregon,2192,968,570,448,5935,2774,39,65,385,327,Oregon,920,676,2379,1032,1482,1046,42,85,1411,789,Oregon,725,546,,,904,535,177,214,461,364,Oregon,119,143,802,583,3347,1277,4793,2328,367,435,Oregon,676,510,21224,3153,593,502,426,284,765,664,Oregon,19417,3339,152,177,477,546,18788,3285
60,Pennsylvania,12630082,4558,11107110,28998,1252378,26347,215500,8872,1926,1318,Pennsylvania,1658,857,3529,1256,573,315,7772,1558,2574,1488,Pennsylvania,3311,905,4814,1468,2921,830,14631,2565,4337,1703,Pennsylvania,245,180,359,350,3749,1137,1599,680,125,177,Pennsylvania,967,860,1233,604,694,431,988,675,17529,3084,Pennsylvania,5900,1368,2642,1235,1169,588,55,49,1171,575,Pennsylvania,135,169,214,187,1600,999,1138,609,33791,4576,Pennsylvania,1001,740,32898,4482,6380,1734,166,195,14319,2479,Pennsylvania,378,253,234,220,,,771,472,3023,869,Pennsylvania,159,206,1273,533,6768,1688,1276,804,1012,873,Pennsylvania,11960,2213,1787,1202,6762,2075,1550,722,434,439,Pennsylvania,55094,5215,7847,2646,224,169,47023,4578
61,Rhode Island,1040527,1533,899551,9890,101165,8498,33446,3551,20,44,Rhode Island,0,200,93,151,0,200,2146,811,332,315,Rhode Island,4170,1101,0,200,313,381,2752,1143,168,211,Rhode Island,120,145,0,200,385,382,0,200,0,200,Rhode Island,27,47,286,405,24,45,279,249,482,325,Rhode Island,11253,1937,230,169,131,131,0,200,210,158,Rhode Island,0,200,188,250,25,48,611,385,1219,641,Rhode Island,36,58,3603,1335,478,508,0,200,63,80,Rhode Island,0,200,139,235,735,552,,,481,609,Rhode Island,0,200,120,199,823,433,0,200,53,76,Rhode Island,1008,569,287,320,0,200,135,124,21,32,Rhode Island,6365,1629,116,186,0,200,6249,1646
62,South Carolina,4668886,3434,3929626,20572,564350,20053,156705,9611,1665,635,South Carolina,1244,1016,2222,1160,839,526,5979,1473,1915,1059,South Carolina,1590,729,697,492,435,352,11552,2367,18570,3616,South Carolina,638,493,198,321,2125,1128,3802,1911,643,437,South Carolina,1064,855,1924,991,2709,2265,2077,942,3565,1205,South Carolina,2313,826,2966,1289,757,582,1407,802,1884,724,South Carolina,93,127,158,165,1025,834,917,696,6517,2181,South Carolina,1052,1085,10746,3642,24764,3907,656,650,4388,1326,South Carolina,555,354,255,202,6497,2067,538,332,,,South Carolina,816,1252,3550,1136,5351,1482,566,425,298,244,South Carolina,9377,3040,1629,1165,1345,720,832,570,0,197,South Carolina,18205,4182,1070,890,0,197,17135,4064
63,South Dakota,821669,1036,676014,7752,115606,7423,26051,2891,0,147,South Dakota,855,1127,435,333,227,354,1494,663,1744,839,South Dakota,2,4,0,147,0,147,970,638,122,130,South Dakota,8,13,78,104,74,102,210,289,2441,932,South Dakota,403,295,0,147,0,147,0,147,60,65,South Dakota,61,101,892,747,3568,1023,34,48,474,274,South Dakota,248,208,2175,801,135,171,0,147,0,147,South Dakota,175,187,371,317,240,220,1725,823,64,77,South Dakota,21,36,667,583,515,633,0,147,158,159,South Dakota,,,507,346,1715,1067,388,372,5,9,South Dakota,340,300,1026,681,131,216,314,413,979,735,South Dakota,3998,1116,134,235,0,147,3864,1076
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Tennessee,6378278,4412,5396833,24470,783077,21860,177098,10625,12116,3309,Tennessee,1281,847,2250,907,3306,1731,8396,2447,2473,1156,Tennessee,936,900,176,222,180,203,15641,3639,16012,3114,Tennessee,1058,1052,787,817,7094,1891,5591,2209,617,556,Tennessee,2630,1972,13202,2695,2452,1206,1040,589,1743,867,Tennessee,1525,706,4507,1434,1178,896,10568,2321,2694,1254,Tennessee,308,278,432,389,735,443,271,287,783,507,Tennessee,751,640,6279,2008,5904,1834,7,16,6200,1742,Tennessee,2495,1410,1080,589,3329,999,26,55,4300,1280,Tennessee,0,193,,,8716,2938,784,1131,133,133,Tennessee,8008,2159,1876,852,3248,1760,1622,727,358,382,Tennessee,21270,3181,717,499,28,55,20525,3115
66,Texas,25711791,10124,21354247,60947,3656070,53747,507752,20202,9993,3132,Texas,6759,2614,18908,3870,13781,3771,62702,8792,16616,3638,Texas,2769,1124,181,168,1189,610,31259,6252,20362,3365,Texas,5040,2386,2387,1190,19672,3645,8264,2734,4934,2063,Texas,12699,3202,6040,2224,29348,5712,1293,1284,4969,2026,Texas,4813,1584,9501,2273,2803,948,6402,2032,12319,2205,Texas,1813,986,4794,2045,8266,4162,761,749,6797,2141,Texas,16762,3127,20274,4211,22660,6953,989,542,8728,1739,Texas,26284,4418,3827,1684,10449,2158,1763,1605,4470,1665,Texas,1264,757,10368,2623,,,4610,2045,113,135,Texas,17734,4904,11630,2741,1729,938,4192,1322,2472,1676,Texas,193722,10277,4435,1611,1455,1027,187832,10482
67,Utah,2805440,2571,2324019,16852,373980,16586,87870,7490,126,171,Utah,2819,1292,7966,2419,361,402,15286,2837,5350,1845,Utah,142,168,0,181,0,181,2428,1105,1142,622,Utah,1436,876,5129,1135,1588,802,475,296,2791,2779,Utah,398,333,217,221,345,313,380,339,613,361,Utah,1503,1343,1670,1210,385,300,284,229,1553,769,Utah,1057,729,489,384,5391,1743,507,442,437,322,Utah,686,505,2129,924,842,611,175,218,1875,881,Utah,1338,691,4089,2693,944,450,351,571,60,100,Utah,47,74,863,529,3605,1278,,,39,63,Utah,1369,668,3529,1319,0,181,1445,1512,2216,715,Utah,19571,2661,239,190,0,181,19332,2630
68,Vermont,620224,821,532237,5326,61242,5294,24431,2713,16,23,Vermont,93,153,127,165,0,143,1112,537,382,296,Vermont,1626,540,0,143,116,134,966,519,56,81,Vermont,6,10,0,143,230,221,68,81,30,43,Vermont,0,143,1243,1690,73,105,883,546,862,396,Vermont,3318,657,284,246,315,349,0,143,23,26,Vermont,147,189,0,143,17,37,2893,812,833,364,Vermont,74,89,4780,921,328,248,0,143,214,247,Vermont,11,13,26,38,935,525,341,220,124,208,Vermont,39,66,193,185,493,334,81,96,,,Vermont,728,427,98,109,0,143,151,115,96,102,Vermont,2314,691,0,143,45,73,2269,683
69,Virginia,8085389,4754,6857430,25550,915242,24032,250653,11997,2515,990,Virginia,1906,1287,2420,1030,445,319,14780,2760,5352,1834,Virginia,2725,1001,2279,1465,10964,4084,19574,3694,9535,1889,Virginia,3823,1460,652,411,7089,3237,2663,1228,221,209,Virginia,1144,669,3908,1422,1638,936,1144,689,23925,4264,Virginia,3767,1503,2982,1136,2294,1414,1344,730,1914,837,Virginia,658,433,357,313,973,522,535,398,9073,2029,Virginia,947,637,15893,3260,25575,4182,852,1019,5622,1519,Virginia,2810,1873,1541,1069,14190,2998,1605,731,7936,2435,Virginia,35,57,6189,1858,12944,2828,2092,994,423,437,Virginia,,,4160,1420,3839,1234,1258,880,143,166,Virginia,62064,6250,516,466,899,726,60649,6138
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Washington,6815763,3864,5648199,25225,904695,24285,215494,12552,1507,730,Washington,4328,1682,8362,2641,1413,1121,45597,5884,5195,2150,Washington,2901,1138,100,164,773,528,9370,2417,6363,2288,Washington,5239,2393,10604,2191,4298,1727,1089,521,1159,845,Washington,2544,1029,1368,911,1646,915,532,655,1191,923,Washington,2911,1011,3470,1605,2703,1971,615,444,2802,1017,Washington,2919,1013,682,456,5671,2919,309,248,2300,1441,Washington,872,527,5562,1947,4088,1854,217,200,3192,1400,Washington,1223,768,25525,4052,3397,1799,97,162,2727,1542,Washington,94,155,3206,1819,14196,3417,5298,1995,223,216,Washington,3839,1320,,,215,271,1168,638,394,495,Washington,47375,5674,1025,878,1044,528,45306,5353
72,West Virginia,1837518,2090,1613322,11785,174112,11396,47125,4317,477,339,West Virginia,306,455,79,129,0,182,1231,516,104,114,West Virginia,143,177,674,525,294,194,1919,666,1108,483,West Virginia,166,277,181,250,220,190,328,406,68,111,West Virginia,39,64,2249,1019,90,88,35,74,5352,1897,West Virginia,164,191,778,581,20,37,0,182,59,76,West Virginia,0,182,0,182,229,268,129,147,1213,679,West Virginia,81,90,1721,965,4683,1933,175,215,6757,1474,West Virginia,520,447,118,207,5208,1699,0,182,1098,671,West Virginia,36,65,1061,513,622,415,0,182,54,89,West Virginia,6317,1774,297,285,,,470,555,252,395,West Virginia,2959,985,79,123,0,182,2880,983
73,Wisconsin,5660677,3351,4849945,15530,693737,15440,99192,6959,323,262,Wisconsin,236,193,3257,1696,253,216,5347,2126,1600,604,Wisconsin,657,432,296,475,15,25,4937,1590,970,396,Wisconsin,333,416,360,231,22285,3020,2480,1136,4161,1283,Wisconsin,1160,1199,635,502,598,403,233,195,1306,586,Wisconsin,489,356,3917,1160,18965,2405,238,211,1263,681,Wisconsin,784,512,324,240,1163,682,3,7,606,477,Wisconsin,526,553,2033,980,2939,1454,284,318,2610,1053,Wisconsin,289,204,945,601,1563,750,144,157,1053,675,Wisconsin,329,220,1051,638,2765,1112,900,1091,62,88,Wisconsin,1267,916,1208,416,0,145,,,30,46,Wisconsin,17803,2571,975,943,38,63,16790,2572
