,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 46 through 48.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114
40,Nebraska,260,299,747,1197,2197,1444,53,88,4552,1649,Nebraska,3639,1089,0,221,43,72,286,331,2380,888,Nebraska,770,571,312,355,77,88,1826,819,393,470,Nebraska,5981,1548,3463,1464,236,363,180,213,53,89,Nebraska,376,381,152,176,558,450,1932,1235,271,297,Nebraska,3698,1501,123,153,239842,11740,93,175,60,99,Nebraska,760,1004,180,179,924,781,922,596,500,533,Nebraska,1166,811,1386,1119,346,325,297,258,207,283,Nebraska,444,527,427,392,1016,591,763,614,2981,1157,Nebraska,264,222,0,221,481,406,820,643,147,239,Nebraska,1110,1212,456,310
41,Nevada,1601,2399,749,534,6368,2027,267,360,42732,5884,Nevada,1614,826,514,389,72,118,120,140,5117,2333,Nevada,2340,1499,3098,1222,1427,708,4630,2508,1469,1070,Nevada,255,328,593,591,419,399,1428,1247,0,300,Nevada,1045,941,685,503,3513,2159,997,562,303,429,Nevada,1119,810,703,568,594,601,400779,19092,169,278,Nevada,962,661,750,461,4150,1736,890,596,202,258,Nevada,5032,2281,1509,1407,2709,1366,781,534,148,245,Nevada,0,300,64,105,486,537,784,505,5854,2606,Nevada,4579,2006,54,91,1667,806,4024,2253,73,120,Nevada,1159,610,229,278
42,New Hampshire,0,253,750,758,1786,979,0,253,1534,838,New Hampshire,279,269,2830,1036,72,129,310,332,4464,2136,New Hampshire,695,652,0,253,0,253,296,353,227,249,New Hampshire,0,253,0,253,230,229,0,253,3633,1250,New Hampshire,1018,649,14669,2875,429,472,171,284,0,253,New Hampshire,99,116,0,253,217,290,279,237,120242,7758,New Hampshire,784,448,668,1030,1740,705,773,704,0,253,New Hampshire,1048,804,0,253,468,597,550,483,0,253,New Hampshire,553,567,574,533,0,253,116,138,412,319,New Hampshire,200,258,3623,1269,491,341,0,253,0,253,New Hampshire,257,251,0,253
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,
45,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,,Colorado,,Connecticut,,Delaware,,District of Columbia ,,Florida,,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Puerto Rico,,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,,Wisconsin,,Wyoming,
46,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,New Jersey,1004,668,2066,1046,3066,1353,263,353,4819,1608,New Jersey,624,399,3947,1803,1482,550,337,285,9594,2685,New Jersey,3905,1477,653,529,53,85,3357,1845,553,356,New Jersey,195,325,1053,828,680,753,426,429,318,217,New Jersey,4959,1692,4772,1469,2001,1899,1489,734,102,167,New Jersey,1173,674,0,277,0,277,1100,1024,548,345,New Jersey,699979,20791,219,214,48252,6789,2362,1199,0,277,New Jersey,1769,860,0,277,284,373,24752,3265,3518,1468,New Jersey,2809,1680,811,576,0,277,682,483,2793,873,New Jersey,258,352,360,365,3354,1069,706,522,0,277,New Jersey,823,695,107,172
49,New Mexico,210,259,785,578,8688,3056,498,494,9326,2576,New Mexico,6102,2465,81,94,76,116,316,371,3544,1439,New Mexico,1233,681,587,394,197,259,1778,1652,1105,673,New Mexico,444,540,806,581,155,208,1163,966,42,69,New Mexico,779,821,989,776,2048,1123,548,444,38,48,New Mexico,118,157,43,72,1225,1320,2184,1417,0,279,New Mexico,1843,2059,248312,14101,760,468,190,226,52,88,New Mexico,405,321,1159,709,830,574,1077,591,290,336,New Mexico,0,279,830,730,36,60,410,274,11751,2697,New Mexico,256,325,0,279,1551,1066,1371,955,0,279,New Mexico,428,379,686,582
50,New York,1202,636,2883,1466,2541,970,146,182,18337,2314,New York,3782,1495,15404,3439,800,463,4889,1464,33961,5205,New York,6569,1601,2217,1259,364,334,7613,2152,2155,1025,New York,271,165,1594,944,863,550,1022,506,2133,903,New York,7070,1740,14849,2547,5163,1445,2539,1331,151,136,New York,3713,1787,150,143,561,503,966,627,2081,819,New York,34407,5067,1496,603,1761130,37390,10052,2507,327,453,New York,5986,1489,1905,1139,1365,648,20695,2584,5213,1868,New York,4052,2332,3741,1313,46,57,2227,875,9936,2537,New York,1687,844,3345,1199,9208,2303,2858,1171,945,636,New York,827,554,284,314
51,North Carolina,4978,2160,1862,1069,2987,1455,1310,722,16493,3315,North Carolina,6627,3571,4177,1829,2205,1372,1958,841,42729,5777,North Carolina,18965,3912,1139,764,404,412,3911,1297,4584,1955,North Carolina,2499,1446,1258,1114,2342,1213,3069,1707,744,453,North Carolina,13657,3231,7224,2529,7615,1940,1002,691,1313,1189,North Carolina,4002,1907,707,538,875,919,2375,1697,1136,730,North Carolina,10416,3182,797,498,33213,5020,1184027,30006,55,97,North Carolina,12145,2541,2593,1342,999,614,11138,2832,850,955,North Carolina,1335,1439,25135,5304,413,502,9734,2901,12799,2496,North Carolina,749,537,381,354,25142,3845,6311,2669,4431,1581,North Carolina,936,477,147,201
52,North Dakota,0,208,0,208,183,195,157,193,990,486,North Dakota,297,228,103,136,0,208,0,208,534,574,North Dakota,0,208,354,403,222,235,416,347,42,56,North Dakota,196,241,160,170,0,208,110,136,0,208,North Dakota,45,51,389,358,61,83,10598,2526,183,224,North Dakota,554,546,3212,1724,311,199,58,78,0,208,North Dakota,0,208,144,192,23,42,639,191,76714,5995,North Dakota,344,258,466,550,957,792,145,185,0,208,North Dakota,0,208,31,54,1433,875,35,55,1282,812,North Dakota,195,269,10,17,33,69,1024,968,49,62,North Dakota,342,272,419,324
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Ohio,2564,1300,2788,1663,3142,1195,416,403,6921,1796,Ohio,3169,1197,2645,1819,520,399,770,449,15794,2998,Ohio,7109,2205,495,321,333,270,9436,2005,10863,2934,Ohio,1730,846,1311,1068,13225,2645,1104,1000,489,429,Ohio,4354,1935,2969,1336,15828,3073,2255,1085,991,757,Ohio,3372,1446,68,115,1239,1342,616,350,553,580,Ohio,2574,1021,1465,1367,7304,1791,6412,2497,649,554,Ohio,1492145,32810,1693,895,1330,1171,11099,2060,1127,987,Ohio,239,235,4235,1410,314,284,4989,1640,4815,1558,Ohio,727,486,171,141,5764,2037,4055,2125,5581,1569,Ohio,1239,650,126,152
55,Oklahoma,1732,1245,1485,917,3632,1600,7784,1957,8167,2111,Oklahoma,3887,1367,400,377,0,248,0,248,5414,1909,Oklahoma,3316,1502,406,339,198,230,2700,1269,743,441,Oklahoma,2256,1543,6762,2131,806,732,2478,1141,431,466,Oklahoma,480,378,235,240,3102,1155,1024,535,1078,859,Oklahoma,6025,1772,691,845,917,549,1120,661,1369,1560,Oklahoma,1123,1158,2721,1476,2279,879,2288,1288,53,87,Oklahoma,2285,1604,565735,17330,704,603,844,541,0,248,Oklahoma,301,485,915,527,18,32,1566,593,32401,4183,Oklahoma,360,326,0,248,1364,656,2236,1123,737,773,Oklahoma,446,377,855,637
56,Oregon,707,608,3003,1360,3344,1193,452,469,33497,5077,Oregon,3050,1098,49,81,209,228,177,284,4578,2032,Oregon,592,413,3045,1987,9155,2990,2142,982,619,444,Oregon,898,639,574,482,80,97,413,304,310,413,Oregon,325,307,1485,829,723,422,478,301,219,267,Oregon,1136,592,2582,974,614,518,3819,1657,263,302,Oregon,311,405,1297,1053,2502,1205,589,500,426,584,Oregon,1930,1119,913,716,530199,17163,2125,1077,51,87,Oregon,176,169,1239,1277,1019,1135,809,587,3502,1320,Oregon,1740,897,0,275,1997,1060,18315,2633,104,173,Oregon,1660,927,632,504
57,Pennsylvania,971,578,1426,833,2264,999,308,284,9368,2621,Pennsylvania,1884,906,5283,1816,8293,2803,1154,503,18380,3439,Pennsylvania,4522,1879,204,228,148,176,7486,2744,2387,959,Pennsylvania,359,323,874,552,1046,749,644,395,925,511,Pennsylvania,19850,3298,5175,1684,4224,1333,1929,1473,899,619,Pennsylvania,2248,870,688,600,202,236,1896,1001,1181,933,Pennsylvania,39442,4969,907,664,41006,4567,5828,1293,114,137,Pennsylvania,10598,2332,1103,1037,740,456,1262078,30126,6343,2426,Pennsylvania,377,436,2936,1138,322,428,2510,1363,5187,1573,Pennsylvania,1031,931,973,806,11481,2154,1625,705,4188,1886,Pennsylvania,1071,711,109,140
58,Puerto Rico,200,319,0,289,0,289,0,289,779,557,Puerto Rico,257,344,2463,1155,0,289,72,160,8787,2155,Puerto Rico,572,461,0,289,0,289,932,736,91,104,Puerto Rico,60,101,305,410,121,205,115,190,0,289,Puerto Rico,79,131,2138,1056,36,61,0,289,0,289,Puerto Rico,0,289,0,289,0,289,573,610,353,553,Puerto Rico,3280,1559,0,289,7097,2390,286,351,0,289,Puerto Rico,150,240,0,289,95,150,2088,1071,279867,13906,Puerto Rico,172,289,0,289,0,289,182,241,1057,653,Puerto Rico,0,289,0,289,407,348,354,563,0,289,Puerto Rico,633,497,0,289
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Rhode Island,0,287,177,292,139,182,233,387,1478,626,Rhode Island,322,261,2630,1053,66,108,0,287,1355,664,Rhode Island,721,641,387,423,0,287,108,129,0,287,Rhode Island,90,151,0,287,0,287,0,287,603,451,Rhode Island,676,477,6190,1736,905,903,637,632,142,181,Rhode Island,0,287,0,287,384,461,0,287,292,226,Rhode Island,1849,740,576,753,2321,883,1036,950,0,287,Rhode Island,264,254,64,104,73,121,1012,453,1797,1043,Rhode Island,95449,7772,74,125,41,76,529,467,202,252,Rhode Island,194,313,176,166,1333,925,285,265,322,464,Rhode Island,63,106,179,292
61,South Carolina,1837,692,679,558,759,403,860,638,4143,1392,South Carolina,1044,548,1674,731,528,326,1056,909,16638,2990,South Carolina,16349,3430,688,460,188,342,3424,1315,1888,1167,South Carolina,737,637,583,455,2069,992,965,581,280,262,South Carolina,5044,1652,3294,1464,4767,1405,354,287,1425,838,South Carolina,742,450,190,187,467,497,1166,828,1080,1275,South Carolina,5044,1418,380,260,8223,2420,26624,4804,0,287,South Carolina,5606,1594,936,759,517,483,6538,1886,687,437,South Carolina,625,507,498159,16534,43,73,3708,1124,4405,1322,South Carolina,119,117,884,600,9358,2481,1349,929,411,329,South Carolina,920,489,0,287
62,South Dakota,267,317,66,102,1046,708,22,38,1051,603,South Dakota,2259,980,108,176,0,223,339,422,228,168,South Dakota,86,147,0,223,185,180,607,415,300,399,South Dakota,1686,682,206,219,86,128,31,57,0,223,South Dakota,129,157,27,50,806,673,4345,1227,225,392,South Dakota,391,299,161,189,2561,917,65,106,0,223,South Dakota,65,116,315,389,298,420,307,451,1174,540,South Dakota,293,210,79,94,224,221,618,605,0,223,South Dakota,0,223,51,82,94482,6578,450,655,931,642,South Dakota,137,154,0,223,224,203,742,469,51,83,South Dakota,583,539,185,144
63,Tennessee,6780,1882,1970,1865,1353,797,5096,1631,9008,2034,Tennessee,2240,1189,1000,795,188,203,66,110,23598,4300,Tennessee,15275,3241,0,281,187,221,7570,2020,4986,1462,Tennessee,802,527,1220,727,11463,2875,4361,1472,420,383,Tennessee,1861,934,1108,666,7563,1784,546,509,8905,2380,Tennessee,3107,1272,737,902,784,558,1086,856,998,606,Tennessee,1942,1000,945,719,3910,1542,9274,2577,47,76,Tennessee,6831,2374,1544,978,890,614,3798,1302,707,995,Tennessee,451,549,3357,1838,572,573,807705,25182,7426,2112,Tennessee,538,403,362,353,7424,1843,822,569,2457,1813,Tennessee,2779,1682,261,277
64,Texas,6086,1718,7173,2388,16278,3086,13341,3083,73993,8212,Texas,17623,4781,3337,1361,740,684,1237,833,40763,6583,Texas,18304,3781,5248,2110,3164,1762,18232,4239,7033,2287,Texas,4723,1906,9848,3039,4356,2034,32621,4346,498,302,Texas,5775,1454,4183,2161,11169,2831,8613,2067,8451,2622,Texas,16626,4284,1628,1240,4437,2182,7066,2763,476,320,Texas,10379,2612,19679,3793,17497,2931,15679,3247,1728,1122,Texas,13381,3216,27572,4915,5732,2065,8785,2544,4716,1463,Texas,525,447,6255,2374,1211,884,13051,3881,3648004,50887,Texas,4701,1218,132,161,15143,3255,9796,2740,1895,1653,Texas,7548,2181,3167,2061
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Utah,695,584,2160,1090,9075,3370,450,406,18607,3766,Utah,5400,2150,598,472,0,263,71,119,3373,1637,Utah,1218,700,713,493,6106,1524,1631,772,856,1011,Utah,134,212,277,328,349,247,735,634,106,184,Utah,719,568,961,781,1065,606,578,379,144,168,Utah,1170,657,627,521,1715,1826,7998,2993,395,295,Utah,121,150,912,530,1645,1027,676,625,727,692,Utah,2805,1557,792,683,5487,2292,682,584,198,253,Utah,0,263,444,383,169,240,510,402,7026,1915,Utah,365169,16152,123,207,1501,795,2930,1063,70,120,Utah,2574,1699,4524,1986
67,Vermont,0,211,252,180,200,293,0,211,1062,623,Vermont,723,524,1041,452,0,211,0,211,1025,460,Vermont,0,211,18,31,36,60,151,171,290,351,Vermont,310,303,0,211,104,104,19,35,1985,1244,Vermont,233,222,1588,486,467,379,204,280,54,93,Vermont,370,509,94,99,0,211,399,628,2727,1090,Vermont,628,264,13,31,4480,1052,292,203,0,211,Vermont,105,101,140,209,183,132,643,393,0,211,Vermont,201,193,14,22,0,211,361,377,392,365,Vermont,141,115,58790,4372,775,371,176,136,51,67,Vermont,0,211,27,45
68,Virginia,4171,1539,866,749,4286,1904,1030,741,14469,2771,Virginia,3023,1177,4955,2019,1096,594,8323,2541,23316,3611,Virginia,9719,2009,2737,1275,1446,954,10324,2840,2445,1117,Virginia,229,206,1054,478,2100,846,1551,713,1186,694,Virginia,26870,3490,4532,1505,5528,1993,1641,930,1549,993,Virginia,1806,831,733,377,1278,969,2239,1378,508,384,Virginia,9498,2256,655,504,15761,3218,27224,4537,529,653,Virginia,5366,1710,417,263,876,700,13283,3060,174,201,Virginia,587,412,6695,2080,57,96,7969,2223,11813,2655,Virginia,2480,1489,650,444,925353,25033,5253,2174,8624,2608,Virginia,2131,1138,375,443
69,Washington,1845,1227,5334,1916,10009,3271,830,589,41082,4864,Washington,7610,3151,960,613,0,271,481,373,8070,2517,Washington,4290,1948,4153,1201,9452,2574,3254,1319,1205,650,Washington,1706,1000,2520,1487,3017,2145,1337,854,361,281,Washington,1096,666,2678,1131,3198,1342,2468,1356,495,354,Washington,3775,1453,4627,1413,1567,879,3375,1272,15,25,Washington,1725,843,1153,586,5807,2383,4643,1661,446,522,Washington,2480,1074,1604,1193,25238,3370,2910,1155,490,717,Washington,256,250,1698,1079,773,606,2561,2145,11149,3147,Washington,2679,1024,521,554,5699,1993,895624,22404,543,379,Washington,1895,1368,262,292
70,West Virginia,282,476,812,774,59,100,0,265,968,541,West Virginia,545,484,49,61,356,307,762,328,1397,814,West Virginia,952,650,0,265,0,265,126,203,784,385,West Virginia,0,265,0,265,2856,1095,381,340,0,265,West Virginia,7260,2064,615,564,447,284,0,265,86,139,West Virginia,214,265,0,265,209,222,55,93,0,265,West Virginia,600,394,363,417,938,528,4833,1528,0,265,West Virginia,10695,2805,51,87,22,42,5959,1847,0,265,West Virginia,72,123,1207,718,0,265,777,506,618,384,West Virginia,86,111,0,265,8166,2087,258,286,170344,9533,West Virginia,51,87,33,55
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Wisconsin,432,297,1645,971,1328,768,1373,1946,4618,1554,Wisconsin,2728,1146,136,146,0,216,0,216,4177,1341,Wisconsin,1668,767,577,560,794,514,26280,4181,1503,713,Wisconsin,3024,1251,382,255,809,708,971,529,178,215,Wisconsin,1294,787,719,542,4669,1352,18926,2797,497,543,Wisconsin,3979,1542,1527,1409,323,295,483,292,0,216,Wisconsin,365,291,439,575,2144,849,822,520,376,295,Wisconsin,2225,1122,358,282,667,493,1590,721,1218,1054,Wisconsin,89,148,755,640,1353,1198,1483,618,3854,1588,Wisconsin,303,219,26,44,1381,655,1657,941,217,214,Wisconsin,682608,20672,47,76
73,Wyoming,459,486,72,93,724,542,557,562,1709,690,Wyoming,5140,1565,35,70,0,261,0,261,1130,686,Wyoming,479,349,252,398,964,859,759,465,33,54,Wyoming,707,547,540,414,98,178,151,242,0,261,Wyoming,210,348,0,261,789,518,346,422,429,644,Wyoming,296,382,1348,656,512,274,1215,942,0,261,Wyoming,32,53,66,105,131,163,242,228,267,264,Wyoming,834,593,171,173,601,520,398,237,0,261,Wyoming,0,261,0,261,731,596,177,239,1054,626,Wyoming,2957,1363,0,261,0,261,526,389,0,261,Wyoming,179,158,65556,5755
74,Footnotes:,,,,,,,,,,,Footnotes:,,,,,,,,,,,Footnotes:,,,,,,,,,,,Footnotes:,,,,,,,,,,,Footnotes:,,,,,,,,,,,Footnotes:,,,,,,,,,,,Footnotes:,,,,,,,,,,,Footnotes:,,,,,,,,,,,Footnotes:,,,,,,,,,,,Footnotes:,,,,,,,,,,,Footnotes:,,,,
75,*Incudes Puerto Rico and the District of Columbia,,,,,,,,,,,*Incudes Puerto Rico and the District of Columbia,,,,,,,,,,,*Incudes Puerto Rico and the District of Columbia,,,,,,,,,,,*Incudes Puerto Rico and the District of Columbia,,,,,,,,,,,*Incudes Puerto Rico and the District of Columbia,,,,,,,,,,,*Incudes Puerto Rico and the District of Columbia,,,,,,,,,,,*Incudes Puerto Rico and the District of Columbia,,,,,,,,,,,*Incudes Puerto Rico and the District of Columbia,,,,,,,,,,,*Incudes Puerto Rico and the District of Columbia,,,,,,,,,,,*Incudes Puerto Rico and the District of Columbia,,,,,,,,,,,*Incudes Puerto Rico and the District of Columbia,,,,
76,MOE - Margin of error based on 90% confidence interval,,,,,,,,,,,MOE - Margin of error based on 90% confidence interval,,,,,,,,,,,MOE - Margin of error based on 90% confidence interval,,,,,,,,,,,MOE - Margin of error based on 90% confidence interval,,,,,,,,,,,MOE - Margin of error based on 90% confidence interval,,,,,,,,,,,MOE - Margin of error based on 90% confidence interval,,,,,,,,,,,MOE - Margin of error based on 90% confidence interval,,,,,,,,,,,MOE - Margin of error based on 90% confidence interval,,,,,,,,,,,MOE - Margin of error based on 90% confidence interval,,,,,,,,,,,MOE - Margin of error based on 90% confidence interval,,,,,,,,,,,MOE - Margin of error based on 90% confidence interval,,,,
77,"Source: U.S. Census Bureau, 2008 American Community Survey",,,,,,,,,,,"Source: U.S. Census Bureau, 2008 American Community Survey",,,,,,,,,,,"Source: U.S. Census Bureau, 2008 American Community Survey",,,,,,,,,,,"Source: U.S. Census Bureau, 2008 American Community Survey",,,,,,,,,,,"Source: U.S. Census Bureau, 2008 American Community Survey",,,,,,,,,,,"Source: U.S. Census Bureau, 2008 American Community Survey",,,,,,,,,,,"Source: U.S. Census Bureau, 2008 American Community Survey",,,,,,,,,,,"Source: U.S. Census Bureau, 2008 American Community Survey",,,,,,,,,,,"Source: U.S. Census Bureau, 2008 American Community Survey",,,,,,,,,,,"Source: U.S. Census Bureau, 2008 American Community Survey",,,,,,,,,,,"Source: U.S. Census Bureau, 2008 American Community Survey",,,,
