4,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,
5,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,,Colorado,,Connecticut,,Delaware,,District of Columbia ,,Florida,,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Puerto Rico,,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,,Wisconsin,,Wyoming,
6,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE
20,Georgia,14873,2233,2232,1068,5024,1491,2851,1332,24662,5274,Georgia,3450,1171,5580,2796,2081,1573,1860,830,75182,8524,Georgia,1359227,30903,1120,912,457,385,13676,3694,6948,2417,Georgia,2568,1378,1862,1297,4506,1595,19472,4287,1269,689,Georgia,6731,1937,5068,1565,5167,1431,2945,1984,5336,2036,Georgia,5232,2140,1159,1337,1547,892,2120,1127,845,538,Georgia,9684,3099,337,326,26759,4466,17226,3217,295,356,Georgia,8254,2715,3337,1872,1198,653,8690,2379,1480,957,Georgia,778,512,16774,3357,634,742,14737,3050,16121,3176,Georgia,711,453,542,572,12772,2636,3886,1559,3206,2275,Georgia,4028,2397,380,425
21,Hawaii,332,350,2906,1704,1718,830,0,267,14459,2477,Hawaii,2254,1190,627,386,0,267,262,281,2456,954,Hawaii,2250,1671,122884,8725,0,267,1996,1224,351,363,Hawaii,148,120,496,502,705,605,238,179,443,483,Hawaii,459,375,506,529,193,152,529,484,251,159,Hawaii,284,164,461,745,46,77,1383,690,500,544,Hawaii,745,496,989,624,2654,1227,1785,972,0,267,Hawaii,674,377,744,676,1487,818,1956,1244,0,267,Hawaii,425,515,560,477,201,233,666,444,4405,1372,Hawaii,288,321,0,267,3423,1434,3212,1603,0,267,Hawaii,257,321,101,169
22,Idaho,170,202,995,704,3178,1408,225,267,13537,3236,Idaho,3428,1342,58,114,0,253,226,222,1428,654,Idaho,111,134,786,554,227023,11559,607,402,86,118,Idaho,2416,2066,582,682,382,505,93,160,83,135,Idaho,177,231,0,253,488,520,875,703,483,477,Idaho,807,507,3386,1480,162,183,3058,1083,471,458,Idaho,0,253,203,229,273,371,273,326,247,245,Idaho,1356,915,337,322,7136,1962,585,461,0,253,Idaho,6,11,39,59,837,767,491,378,5042,2175,Idaho,5921,2007,0,253,952,687,12195,2712,70,131,Idaho,319,232,1047,674
23,Illinois,1286,571,1742,1211,5924,1472,2309,1434,15322,3435,Illinois,5901,1546,2771,1234,460,517,1596,1468,17271,3280,Illinois,3854,1249,1609,688,2069,1588,1662179,36079,20749,3308,Illinois,7544,1746,3225,1155,4288,1356,2956,1038,308,330,Illinois,2936,1131,2317,795,14740,2824,5186,1660,2390,878,Illinois,17787,3074,265,274,1624,673,2075,816,297,381,Illinois,3058,1134,865,565,7523,1814,4031,1632,324,261,Illinois,7612,2544,1104,633,1709,1392,4369,1766,3157,2732,Illinois,423,536,2620,1128,372,403,5164,1546,14431,3775,Illinois,723,501,546,495,6401,2306,5358,1794,637,359,Illinois,16802,2790,37,64
24,Indiana,1551,1289,130,174,2434,1080,1201,780,7374,2247,Indiana,1277,406,967,561,180,171,0,263,10469,2456,Indiana,4010,1665,559,488,363,436,34027,4860,884452,21803,Indiana,1679,715,881,635,11572,2752,2506,1194,0,263,Indiana,1417,709,955,549,14603,2470,997,575,1365,1035,Indiana,3904,1894,417,671,985,636,716,559,145,258,Indiana,921,414,420,486,3166,1167,4265,1590,139,139,Indiana,12861,2189,749,621,671,354,2764,997,56,95,Indiana,0,263,1420,789,255,281,3725,1395,10493,2578,Indiana,2951,2077,62,101,2400,963,2066,1246,699,443,Indiana,4237,2133,62,102
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Iowa,740,462,109,162,1702,746,675,573,6764,2173,Iowa,1893,1016,248,248,153,183,65,108,2483,990,Iowa,503,571,65,107,328,351,12255,2504,2862,900,Iowa,412459,13865,3075,1265,151,239,1299,1146,179,169,Iowa,675,522,129,121,2595,1455,7368,1381,832,917,Iowa,6410,1835,95,109,8648,1920,1013,1030,47,83,Iowa,106,98,563,602,686,389,838,620,390,430,Iowa,1869,920,1040,500,1557,911,560,403,59,97,Iowa,0,221,327,259,2330,769,806,499,4997,2060,Iowa,841,578,0,221,1289,741,676,415,133,116,Iowa,3953,1113,502,400
27,Kansas,938,788,412,381,1695,842,2495,1456,8150,2460,Kansas,6752,2014,190,211,779,1262,96,164,2290,862,Kansas,3130,1506,237,232,43,57,2374,1011,994,555,Kansas,2515,1388,401500,15698,1289,674,1425,851,190,298,Kansas,462,399,402,410,741,337,1136,547,676,458,Kansas,27468,4019,570,467,3533,1587,869,719,59,97,Kansas,1174,741,1940,1281,3103,1444,1933,1310,39,63,Kansas,2141,1517,6631,1971,508,413,621,409,112,184,Kansas,0,237,1296,856,837,676,2291,1307,8762,2407,Kansas,1272,1230,22,46,1594,928,805,589,181,180,Kansas,493,305,374,377
28,Kentucky,3863,1559,187,244,1049,576,1076,949,5461,1958,Kentucky,1917,871,265,272,38,70,174,159,10918,2773,Kentucky,5249,1728,859,611,265,304,5748,1759,12264,2476,Kentucky,1386,1161,578,353,575640,18018,982,565,512,368,Kentucky,3187,2306,772,566,4360,1781,610,387,653,535,Kentucky,3628,1856,93,101,321,379,940,719,57,107,Kentucky,463,332,130,215,2574,1082,3836,1341,0,267,Kentucky,15158,3200,1163,621,120,126,1479,579,145,252,Kentucky,100,122,915,525,97,125,13581,3049,6361,1994,Kentucky,464,617,128,104,4204,1932,868,557,2415,1246,Kentucky,708,793,78,134
29,Louisiana,2581,952,152,185,235,160,2486,1470,5286,1772,Louisiana,1108,586,1047,665,466,466,531,369,4853,1520,Louisiana,4444,1658,930,886,313,416,1473,918,889,703,Louisiana,1400,1223,174,138,1219,668,702219,21329,64,116,Louisiana,2264,1038,237,254,2081,1293,477,390,11108,2607,Louisiana,2287,998,268,312,281,464,735,513,62,104,Louisiana,203,206,563,650,1921,1144,1586,765,0,267,Louisiana,1513,707,1455,794,612,401,1096,575,385,410,Louisiana,78,129,1819,1341,46,75,1416,654,30477,5340,Louisiana,452,411,0,267,1538,678,546,456,72,95,Louisiana,510,411,587,808
