,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 45 through 47.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129
35,Massachusetts,6674907,3547,5784744,21481,672510,19780,146622,7649,519,430,Massachusetts,1874,1553,1011,498,234,377,14490,2407,3008,1030,Massachusetts,13287,2801,88,135,1689,905,9570,1813,2718,1095,Massachusetts,404,400,441,694,3199,973,1269,823,681,639,Massachusetts,402,312,253,205,531,609,3944,1073,3344,1045,Massachusetts,,,1817,753,922,490,119,202,1058,553,Massachusetts,297,372,0,198,384,511,11177,2029,5381,1175,Massachusetts,213,183,20548,2881,3035,938,50,85,1436,660,Massachusetts,784,513,512,390,7067,2912,9501,2686,1094,521,Massachusetts,123,174,1085,499,5352,1761,624,530,2765,1147,Massachusetts,5948,1764,1314,652,221,275,839,525,0,198,Massachusetts,71031,6462,4441,1713,68,112,66522,6449
36,Michigan,9795659,4600,8336037,29138,1261495,26528,149991,9956,2362,1075,Michigan,2119,1034,6338,2013,788,621,9754,2146,1938,607,Michigan,1124,470,112,139,411,287,11186,2599,5007,1830,Michigan,881,679,132,156,14603,2848,10692,2122,1525,932,Michigan,1118,577,3747,1570,1212,907,261,212,1425,540,Michigan,2248,1029,,,2002,751,797,416,2185,790,Michigan,289,439,455,346,1193,783,332,318,1774,761,Michigan,579,297,6226,1363,3778,1436,725,429,12829,2869,Michigan,1174,647,443,369,3731,1253,359,302,2444,1128,Michigan,455,268,7041,2895,9446,2035,403,295,35,59,Michigan,3049,1004,3049,1208,560,311,5538,1594,117,135,Michigan,48136,4766,717,800,232,178,47187,4630
37,Minnesota,5385219,3037,4612655,18403,635880,17046,106783,7233,392,439,Minnesota,860,575,2837,1121,570,457,9039,2714,3451,1360,Minnesota,200,220,86,144,70,114,3762,1579,2539,1022,Minnesota,110,91,326,374,9734,2390,2682,1483,5975,1384,Minnesota,409,297,308,274,523,344,136,143,378,363,Minnesota,1127,1065,1901,728,,,913,724,1842,673,Minnesota,965,628,881,778,942,520,188,158,749,552,Minnesota,557,355,1468,602,1152,644,8587,1503,1955,757,Minnesota,505,350,1219,677,1665,1020,270,339,414,321,Minnesota,4339,1116,1214,830,3654,1179,818,670,95,107,Minnesota,1949,907,1930,663,680,927,20375,2348,42,42,Minnesota,29901,5398,189,257,103,175,29609,5400
38,Mississippi,2957658,3082,2554296,14497,321236,13038,73927,6852,6816,1736,Mississippi,195,180,713,363,1462,946,6158,1950,656,675,Mississippi,118,137,0,206,56,83,7000,2179,4594,1829,Mississippi,415,450,0,206,3500,1410,1225,783,247,266,Mississippi,299,321,722,589,7162,1898,0,206,139,148,Mississippi,536,591,2849,2408,68,110,,,1073,678,Mississippi,457,549,680,614,126,195,157,176,59,84,Mississippi,751,392,1086,379,1198,503,0,206,1093,703,Mississippi,376,368,148,223,946,633,0,206,2005,1846,Mississippi,0,206,10017,3115,5546,1328,657,790,0,206,Mississippi,818,619,851,678,447,396,506,349,0,206,Mississippi,8199,1517,1343,682,0,206,6856,1259
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Missouri,5992195,3743,5042396,23817,776519,20564,153320,9335,2807,1473,Missouri,1013,618,3741,1390,8043,2742,6925,1855,2959,853,Missouri,225,179,0,181,378,308,5044,1298,3133,1304,Missouri,203,204,1092,817,24210,4022,4004,1348,3502,1094,Missouri,18850,2895,881,533,2100,926,375,349,2050,1163,Missouri,1140,484,2985,1118,1394,555,841,605,,,Missouri,658,488,3258,1474,942,591,55,93,1160,577,Missouri,1398,704,3116,1260,2746,1092,890,626,2639,1211,Missouri,6677,2184,3351,1794,2162,823,486,474,1617,1032,Missouri,663,759,3214,1339,11322,2934,1151,688,0,181,Missouri,3540,1389,1877,829,288,234,1506,517,709,618,Missouri,19960,2263,776,783,47,110,19137,2314
41,Montana,1012169,1517,845142,8833,126508,7649,37561,4096,134,113,Montana,381,256,1873,736,288,384,5468,2147,1899,687,Montana,24,46,0,161,0,161,1158,737,68,98,Montana,674,631,1788,798,673,347,685,665,272,338,Montana,840,731,124,200,249,352,11,20,156,201,Montana,926,831,842,617,739,479,398,503,114,129,Montana,,,406,586,709,450,0,161,0,161,Montana,352,263,84,138,110,104,1090,565,231,211,Montana,0,161,1953,1138,527,478,0,161,0,161,Montana,444,296,15,31,2169,923,1972,1181,178,248,Montana,511,400,5354,1583,0,161,120,126,1552,1272,Montana,2958,813,14,26,0,161,2944,806
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Current residence,Population 1 year and over,,Same house 1 year ago,,Same state of residence 1 year ago,,Different state of residence 1 year ago,,,,Current residence,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence,Abroad 1 year ago,,,,,,,
44,,,,,,,,Total,,Alabama,,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,,Connecticut,,Delaware,,District of Columbia ,,Florida,,Georgia,,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,,,Total,,Puerto Rico,,U.S. Island Area,,Foreign Country,
45,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Nebraska,1855356,2122,1541744,11830,252232,11543,52200,5289,510,496,Nebraska,521,657,1149,487,166,153,2391,1521,3727,1198,Nebraska,0,153,0,153,0,153,2684,921,1317,826,Nebraska,117,159,415,326,2717,2280,559,419,7598,1791,Nebraska,3351,1177,329,324,405,659,200,324,519,474,Nebraska,857,892,319,210,2135,843,0,153,1493,593,Nebraska,567,483,,,801,700,0,153,106,139,Nebraska,591,475,932,581,363,323,396,302,543,317,Nebraska,560,283,232,182,1066,950,237,378,418,605,Nebraska,2704,1036,401,371,3377,1072,1656,1429,0,153,Nebraska,1536,834,533,492,0,153,537,346,1165,596,Nebraska,9180,1758,0,153,65,93,9115,1764
48,Nevada,2806170,2678,2235861,18271,426512,17873,130390,7549,475,580,Nevada,2893,1664,8488,1899,86,144,48954,5462,3309,1100,Nevada,313,498,234,289,615,760,4116,1322,2084,1798,Nevada,2210,1137,1371,751,3699,1541,533,567,1404,968,Nevada,1106,897,649,464,309,277,11,21,871,640,Nevada,536,350,1323,681,1522,710,643,672,1011,691,Nevada,981,741,506,348,,,213,209,1206,620,Nevada,2987,1795,2175,790,1079,663,32,53,1680,1145,Nevada,1402,774,4032,1716,2745,2105,41,66,304,357,Nevada,176,241,1945,1425,5291,1561,5977,2327,162,194,Nevada,1332,669,5753,2060,493,319,754,515,359,241,Nevada,13407,2515,97,158,70,116,13240,2527
49,New Hampshire,1314735,1334,1134514,10270,133298,9504,41393,3762,44,73,New Hampshire,130,166,146,146,63,106,1658,950,260,190,New Hampshire,3151,1931,0,182,82,145,2303,1012,177,253,New Hampshire,0,182,0,182,819,649,0,182,0,182,New Hampshire,165,234,309,374,164,138,4155,1589,357,359,New Hampshire,14692,2180,157,247,0,182,588,887,0,182,New Hampshire,0,182,0,182,434,422,,,1035,740,New Hampshire,0,182,2479,716,343,342,523,727,328,340,New Hampshire,148,239,247,250,1531,740,767,470,78,110,New Hampshire,0,182,119,94,83,124,480,398,2200,829,New Hampshire,846,439,148,131,0,182,184,197,0,182,New Hampshire,5530,2136,456,455,0,182,5074,2220
50,New Jersey,8840346,4188,7961796,23160,686056,20002,128911,9226,216,221,New Jersey,382,341,1074,585,422,563,5961,1703,1070,642,New Jersey,2269,905,1777,1151,965,621,10532,2311,3884,2104,New Jersey,227,245,0,195,2167,1515,795,445,12,18,New Jersey,502,544,503,385,894,776,133,150,3388,1659,New Jersey,2956,986,1442,735,1277,1093,394,330,179,150,New Jersey,327,399,44,72,226,227,370,326,,,New Jersey,652,641,44690,4971,4386,1701,131,209,1520,784,New Jersey,72,121,430,351,18958,3306,913,573,873,457,New Jersey,0,195,1684,840,2885,1315,113,158,290,292,New Jersey,4814,2757,645,520,385,285,1082,657,0,195,New Jersey,63583,4995,4180,1942,0,195,59403,5024
51,New Mexico,2060189,2902,1770053,12935,212456,11593,68917,6649,41,38,New Mexico,1526,848,8577,2434,106,178,4986,1788,4475,1446,New Mexico,307,257,0,190,52,86,3064,1774,87,118,New Mexico,304,256,594,637,2465,1699,1201,842,27,44,New Mexico,490,390,65,95,1088,924,515,534,982,597,New Mexico,195,175,662,503,577,356,667,561,1680,943,New Mexico,691,710,1203,1089,1163,626,436,374,300,445,New Mexico,,,1168,780,636,411,0,190,613,442,New Mexico,3394,1922,1219,887,942,877,0,190,212,261,New Mexico,145,187,93,135,17073,3762,297,253,245,330,New Mexico,1057,646,1584,762,25,50,996,660,692,572,New Mexico,8763,1909,588,947,102,109,8073,1729
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,New York,19528220,5972,17418181,31878,1693064,29186,258571,11185,1662,986,New York,3180,1221,7696,1317,611,453,22241,2884,2148,665,New York,14649,2822,1931,1101,3323,1065,22356,3330,6111,1470,New York,1294,660,704,699,6736,1816,1011,505,803,468,New York,1047,557,1005,575,825,622,1350,491,8078,1892,New York,15222,2362,3827,1067,1221,432,1724,1513,2344,985,New York,394,315,55,66,2713,1090,2179,737,35637,3746,New York,1419,1231,,,12174,3200,210,184,4766,1272,New York,869,434,831,450,21930,3348,1541,891,4796,1473,New York,19,33,2957,1383,12941,2355,2259,1179,1933,779,New York,9743,2381,3532,1153,271,162,1983,759,320,240,New York,158404,9997,4885,1746,349,265,153170,9670
54,North Carolina,9832152,5419,8332705,28703,1166928,27169,286533,13479,4264,1390,North Carolina,2467,1100,2246,954,571,371,16448,3465,5108,2333,North Carolina,4754,1888,812,539,1724,618,25532,4246,15696,3087,North Carolina,2546,1593,293,272,7134,1922,2349,1058,1753,1508,North Carolina,2627,1247,2872,1739,1195,473,1715,739,8196,1815,North Carolina,3880,1243,6339,2316,2427,1812,1029,688,2572,971,North Carolina,207,245,1096,808,1870,1269,1202,661,12697,2741,North Carolina,930,822,26255,5050,,,501,355,11082,2979,North Carolina,685,410,1311,634,10594,1993,1356,891,26379,3891,North Carolina,542,560,6397,1459,15604,3577,655,541,564,388,North Carolina,28250,3587,4435,1767,4987,1902,1710,856,675,644,North Carolina,45986,5223,1276,886,715,380,43995,5242
55,North Dakota,729874,1466,602508,6670,85084,4969,39059,4304,402,564,North Dakota,390,323,887,449,192,235,1243,750,1018,774,North Dakota,0,147,0,147,19,32,1547,743,410,609,North Dakota,348,400,345,335,309,266,147,233,296,310,North Dakota,640,548,322,315,0,147,0,147,0,147,North Dakota,53,80,1284,784,13756,2339,331,182,1364,1087,North Dakota,1868,802,490,365,268,220,46,80,42,67,North Dakota,162,224,915,894,18,34,,,843,663,North Dakota,278,218,313,240,1185,981,0,147,308,409,North Dakota,2452,1021,376,366,1064,597,330,329,0,147,North Dakota,160,138,1181,644,68,97,445,282,944,927,North Dakota,3223,1020,0,147,215,322,3008,951
56,Ohio,11464891,4533,9742065,34992,1484132,30668,196742,11827,1189,699,Ohio,1455,844,3348,1163,1467,789,7793,1549,3917,2623,Ohio,1251,817,878,936,670,414,14377,2962,4924,1567,Ohio,355,288,234,215,9076,1833,10968,2328,1414,770,Ohio,1060,633,18410,3768,605,376,177,177,3751,1145,Ohio,1977,849,13480,2379,1631,704,994,858,3277,1036,Ohio,528,501,339,275,1618,823,1404,1094,3952,1768,Ohio,987,606,7759,1689,10004,3696,129,168,,,Ohio,871,620,1538,786,18580,3478,958,689,1717,652,Ohio,464,441,6388,2693,8360,2087,982,557,56,76,Ohio,6403,2987,4084,1644,8018,1700,2789,1076,136,168,Ohio,41952,4995,1874,937,0,185,40078,4626
57,Oklahoma,3827288,2471,3148699,16644,550149,14562,111346,8348,993,454,Oklahoma,1248,810,3729,1680,7333,1657,8180,2174,4190,1145,Oklahoma,176,265,83,97,216,218,4894,1347,1731,771,Oklahoma,255,186,233,194,1396,691,1793,1144,2982,2420,Oklahoma,8779,2270,920,500,1126,510,55,110,709,917,Oklahoma,420,253,778,477,846,574,850,606,6309,1981,Oklahoma,67,80,534,497,829,649,91,111,639,454,Oklahoma,1152,508,2187,1244,1169,632,626,387,1711,720,Oklahoma,,,273,232,1407,554,117,180,779,478,Oklahoma,505,495,3079,1486,29191,3555,1008,647,0,153,Oklahoma,985,578,3102,1159,38,64,1164,699,469,343,Oklahoma,17094,2714,359,244,484,394,16251,2635
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Oregon,3927857,2960,3196441,21251,571056,17936,137008,8735,156,152,Oregon,4211,1911,9446,2054,570,399,35334,4753,5446,1729,Oregon,848,672,0,197,271,300,1319,566,1142,852,Oregon,3491,1219,4995,1478,1514,807,1099,878,509,452,Oregon,671,577,91,129,1054,612,230,237,987,1129,Oregon,1335,763,980,532,2717,1307,0,197,767,538,Oregon,1800,857,414,290,3385,1222,0,197,705,745,Oregon,2617,1452,2117,1168,1810,1121,947,784,828,708,Oregon,1860,1242,,,1972,1156,161,175,163,186,Oregon,602,423,371,314,7480,2312,4149,1532,122,149,Oregon,1506,797,21655,3137,0,197,1276,1155,1885,1147,Oregon,23352,3468,78,132,196,161,23078,3418
60,Pennsylvania,12645888,4727,11103966,27311,1241534,22817,232889,11992,1535,1071,Pennsylvania,2361,1308,1735,531,549,650,9151,2339,2615,1133,Pennsylvania,2670,780,5611,1443,1636,748,16230,2462,4692,1623,Pennsylvania,761,579,362,243,3522,1375,2555,2500,1434,706,Pennsylvania,1186,745,1746,861,1628,781,1280,578,21776,3406,Pennsylvania,4974,1510,5263,1488,1521,756,12,22,1993,815,Pennsylvania,847,745,0,168,868,692,550,367,39423,4912,Pennsylvania,506,314,31145,3832,10006,3413,220,212,10588,1915,Pennsylvania,897,582,794,594,,,1187,562,3006,1258,Pennsylvania,403,316,3269,1525,9027,2919,850,525,674,398,Pennsylvania,11541,2734,2182,1251,4708,1434,1257,750,143,161,Pennsylvania,67499,7151,7437,3100,50,91,60012,6595
61,Rhode Island,1045791,1336,906936,7854,98869,7579,32621,3400,347,377,Rhode Island,54,100,0,203,0,203,1387,699,91,114,Rhode Island,2180,726,26,45,0,203,1723,751,1843,1048,Rhode Island,89,110,0,203,233,243,98,133,80,103,Rhode Island,153,181,251,280,488,643,417,377,557,350,Rhode Island,10765,2221,296,335,428,522,0,203,60,98,Rhode Island,0,203,0,203,44,76,1007,573,1404,526,Rhode Island,0,203,3563,891,1426,895,0,203,176,173,Rhode Island,64,99,44,74,1245,666,,,474,480,Rhode Island,0,203,72,117,445,252,0,203,93,105,Rhode Island,922,415,76,121,0,203,0,203,0,203,Rhode Island,7365,1794,914,829,0,203,6451,1684
62,South Carolina,4780659,3519,4046123,20327,542930,19804,171969,9132,3219,1350,South Carolina,1225,1060,2298,1010,991,828,5826,1578,3455,1662,South Carolina,4030,1872,661,551,649,464,12368,2450,15496,3377,South Carolina,1044,859,996,1227,2854,986,2923,1191,429,374,South Carolina,599,662,3312,2046,1565,973,1462,1028,4291,1806,South Carolina,1620,743,4002,1438,1111,727,1055,485,1495,647,South Carolina,294,279,323,323,499,523,950,562,4226,1332,South Carolina,1237,1150,11241,3138,31188,5267,0,200,5369,1760,South Carolina,1115,632,304,276,7637,2531,646,451,,,South Carolina,352,338,4113,1588,6567,1931,434,320,249,201,South Carolina,8860,1796,5453,2364,687,517,1249,716,0,200,South Carolina,19637,3401,1325,895,253,177,18059,3645
63,South Dakota,842076,1090,701352,7865,109496,6804,28198,3741,0,151,South Dakota,374,303,1008,585,23,32,1920,1040,1388,760,South Dakota,0,151,0,151,0,151,329,271,167,179,South Dakota,0,151,177,207,520,313,489,374,2531,896,South Dakota,842,714,161,131,106,292,0,151,130,180,South Dakota,186,315,86,108,4321,1505,0,151,127,128,South Dakota,990,922,1411,824,531,449,80,128,11,25,South Dakota,330,328,697,445,163,202,1635,766,490,328,South Dakota,711,642,13,18,36,77,0,151,37,76,South Dakota,,,610,318,882,529,131,150,0,151,South Dakota,1453,1975,198,281,0,151,541,287,2363,1637,South Dakota,3030,966,0,151,96,129,2934,927
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Tennessee,6471445,3711,5465071,20831,796577,19366,182130,11634,9640,3703,Tennessee,837,687,2605,1146,7625,2416,8847,2092,2482,1027,Tennessee,390,374,427,584,747,427,17196,3188,15713,3934,Tennessee,438,432,288,249,8853,2483,6087,2084,835,419,Tennessee,613,379,9157,2413,1126,628,207,337,2300,1016,Tennessee,1753,963,6125,2065,962,572,8166,2739,5513,1543,Tennessee,260,240,129,167,681,476,249,309,741,435,Tennessee,596,581,5614,2109,12148,3280,127,233,4627,1995,Tennessee,2068,1408,922,551,2555,1170,1035,761,6164,3731,Tennessee,282,344,,,10134,2574,216,220,162,170,Tennessee,7979,2297,2885,1536,1943,1244,1551,941,130,169,Tennessee,27667,3781,373,361,145,238,27149,3735
66,Texas,26588600,10391,22151594,60678,3681042,56949,538572,22996,6437,1833,Texas,8487,2707,18001,3172,11926,2762,63591,6190,18277,4298,Texas,3110,1252,1411,837,1266,590,40930,10332,19023,4043,Texas,3871,1300,3120,1115,23258,4539,6235,1751,6444,2399,Texas,11585,3166,5990,2402,23805,4203,1385,992,9291,2556,Texas,6208,1937,12267,2897,6946,2877,12308,2853,11921,2546,Texas,659,515,3343,1260,7050,2079,1784,1010,7015,2117,Texas,17262,4235,21347,4027,16934,3475,665,411,11841,2518,Texas,25096,3707,4772,2307,12193,2896,1852,1213,6569,2088,Texas,2041,1124,15159,4162,,,4688,1721,568,515,Texas,18454,3377,10450,2974,2328,1718,7762,2623,1647,860,Texas,217392,13621,6274,2310,2741,2063,208377,12926
67,Utah,2894001,2899,2407608,16818,374578,14902,90234,8541,365,366,Utah,1302,740,8362,2371,119,147,14510,3109,4111,1307,Utah,173,167,0,184,395,395,2920,1368,1139,577,Utah,1556,824,7021,2591,1227,704,535,388,568,461,Utah,193,287,0,184,220,236,162,193,304,238,Utah,1506,834,629,455,904,508,752,731,2174,1597,Utah,898,657,535,560,6612,1785,119,130,473,362,Utah,1621,1279,2059,999,1172,873,125,134,1893,1240,Utah,614,372,2655,1147,1110,800,35,68,944,582,Utah,0,184,361,304,5780,2174,,,138,215,Utah,2332,1436,5274,1818,44,73,543,438,3750,1552,Utah,21581,3132,280,212,0,184,21301,3098
68,Vermont,620898,883,536915,4667,59850,3939,22635,2419,0,147,Vermont,225,285,111,125,0,147,1222,591,645,435,Vermont,1167,453,16,35,0,147,1090,401,152,176,Vermont,0,147,0,147,224,149,134,228,61,103,Vermont,39,49,176,141,0,147,538,223,605,414,Vermont,4462,1198,181,177,2,7,26,26,67,83,Vermont,413,444,0,147,47,79,2572,881,616,243,Vermont,105,107,2554,904,196,153,32,59,76,144,Vermont,62,105,252,243,1180,607,864,764,197,178,Vermont,147,163,151,159,462,359,330,502,,,Vermont,694,479,358,237,155,204,0,147,29,49,Vermont,1498,664,0,147,0,147,1498,664
69,Virginia,8224054,4721,6891144,29452,995822,26452,262477,12503,2654,1027,Virginia,2656,1265,3605,1115,57,67,16013,3241,5487,2221,Virginia,2185,821,367,245,12511,3091,22478,3914,8802,2072,Virginia,2729,954,679,536,3626,1076,2811,942,746,551,Virginia,1859,1157,3655,1429,2041,1123,1043,664,28071,3761,Virginia,4821,1999,2608,1047,3606,1507,1999,810,2856,1342,Virginia,389,423,753,568,1251,809,694,531,9182,2207,Virginia,525,389,16980,2776,22191,3481,444,432,7651,2497,Virginia,918,518,1464,721,14296,2282,1350,721,5780,1745,Virginia,158,241,6832,1911,13337,2628,2554,1325,255,252,Virginia,,,5025,1955,8620,2202,1716,683,147,179,Virginia,74611,6633,1922,957,266,324,72423,6709
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Washington,6979369,3884,5757065,26180,934922,23276,220259,13044,1640,795,Washington,7216,2559,8931,2149,1406,685,40085,5554,6779,2016,Washington,1400,926,624,546,372,329,7190,2049,4536,2739,Washington,4596,1481,12825,3332,4984,1545,1999,801,1943,1165,Washington,2889,1718,1249,823,1203,755,745,425,1729,686,Washington,2003,1013,2276,864,1788,729,485,540,2992,997,Washington,4294,1550,675,435,4969,1607,91,118,2038,1078,Washington,2461,1620,6630,2509,4868,2231,905,606,3496,1709,Washington,1876,1474,26582,3998,3117,1226,400,522,3177,1388,Washington,1577,1528,967,480,12528,3089,4836,1565,690,557,Washington,6427,2654,,,258,251,2129,720,1383,1026,Washington,67123,6824,728,547,1034,614,65361,6706
72,West Virginia,1831414,2060,1617510,10136,162340,9214,47957,4807,144,190,West Virginia,1797,1418,298,398,526,821,1552,923,877,823,West Virginia,244,241,185,153,1078,1063,2815,1021,690,544,West Virginia,0,187,0,187,182,177,507,434,0,187,West Virginia,0,187,1797,1396,128,217,0,187,5834,1836,West Virginia,150,155,347,295,147,171,184,251,390,422,West Virginia,252,343,0,187,28,47,0,187,1072,479,West Virginia,0,187,865,713,2579,1345,46,59,8093,2026,West Virginia,208,191,163,148,4834,1588,0,187,639,649,West Virginia,0,187,619,481,1967,1210,61,123,9,19,West Virginia,6334,1954,0,187,,,316,317,0,187,West Virginia,3607,1128,0,187,0,187,3607,1128
73,Wisconsin,5692727,3347,4868506,18280,688104,17604,117831,7616,452,247,Wisconsin,473,357,2172,981,665,436,6428,1728,1458,549,Wisconsin,376,398,16,20,322,304,4337,1844,1407,679,Wisconsin,518,540,118,123,30423,3703,2636,826,4054,1449,Wisconsin,403,300,489,285,47,46,221,363,551,382,Wisconsin,691,397,5593,1495,20758,2898,1142,612,2213,896,Wisconsin,403,389,584,372,1078,736,221,188,816,576,Wisconsin,187,178,2597,1097,2913,1422,547,289,3100,1685,Wisconsin,1112,716,599,383,1416,691,184,237,1739,1151,Wisconsin,236,243,1534,791,5341,1506,1215,725,130,131,Wisconsin,2113,959,1717,801,70,97,,,16,24,Wisconsin,18286,2702,937,749,48,79,17301,2549
