,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 45 through 47.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129
10,Alabama,4745278,4078,4024442,22751,588293,20366,117726,9414,,,Alabama,1771,1098,1677,1060,1642,1063,3389,1286,348,295,Alabama,2921,3231,232,301,399,359,20063,4141,19346,3711,Alabama,1259,1292,137,173,6991,3376,1434,634,30,52,Alabama,842,632,2686,856,2413,972,626,378,1606,987,Alabama,112,146,2797,1250,327,342,3945,1492,1086,536,Alabama,317,463,770,638,257,333,64,109,1996,2284,Alabama,119,184,1108,442,2697,1820,284,333,2596,958,Alabama,973,840,169,182,1075,474,0,190,2036,973,Alabama,90,98,8710,2300,7973,2240,300,390,66,108,Alabama,4935,2151,2621,1272,65,110,417,457,9,15,Alabama,14817,2811,569,601,0,190,14248,2893
11,Alaska,711962,1401,571857,8892,100280,8388,35084,4168,93,113,Alaska,,,2467,1902,190,258,3098,1921,1583,727,Alaska,138,167,11,24,140,220,1188,476,556,419,Alaska,1366,703,475,253,985,686,181,156,319,374,Alaska,750,741,237,354,1077,1276,0,149,216,155,Alaska,141,120,771,435,593,568,554,904,921,1014,Alaska,248,185,5,12,532,485,520,744,128,136,Alaska,226,188,940,613,470,404,0,149,319,286,Alaska,616,733,2161,841,378,371,0,149,186,182,Alaska,301,343,388,308,2492,1105,662,731,68,105,Alaska,1488,1112,4548,1520,89,75,23,35,246,272,Alaska,4741,1264,1044,962,0,149,3697,901
12,Arizona,6402301,5660,5107496,39045,1028366,36556,222877,14358,833,587,Arizona,5001,2214,,,1066,740,49635,8755,10189,2958,Arizona,1875,1213,0,229,389,389,3732,1842,2206,1147,Arizona,2199,1109,2190,1183,10035,4129,5855,1956,4526,1745,Arizona,1708,883,2134,1257,844,867,0,229,1918,1096,Arizona,743,430,9396,5283,3297,1064,1226,1492,3872,1689,Arizona,2431,1191,1393,798,8756,3417,228,229,3379,1757,Arizona,4610,1448,3880,1363,2548,1269,1159,891,4682,2116,Arizona,3219,1761,4613,1465,3436,1476,72,131,1774,1932,Arizona,1657,1589,1680,647,12688,2976,10577,3336,0,229,Arizona,2233,1094,13940,5479,70,118,6473,2066,2510,1288,Arizona,43562,6373,871,639,122,135,42569,6259
13,Arkansas,2906632,2928,2421746,18606,405831,18050,69845,7292,691,573,Arkansas,560,669,439,381,,,4077,2327,746,451,Arkansas,519,654,79,141,0,192,3067,1273,1446,759,Arkansas,13,27,179,271,3684,2143,1362,1007,851,773,Arkansas,2008,1142,213,311,2120,1015,30,53,133,176,Arkansas,781,901,1881,1130,232,396,1731,864,7314,2602,Arkansas,713,858,332,417,641,525,52,69,341,220,Arkansas,775,680,674,362,1664,1220,214,248,174,176,Arkansas,3761,1456,632,587,567,628,0,192,235,269,Arkansas,0,192,6462,2269,14767,2746,0,192,0,192,Arkansas,1245,769,1477,636,24,45,687,632,252,399,Arkansas,9210,3170,529,507,46,81,8635,3062
14,California,37222678,9999,31213310,71183,5271168,68394,468428,17921,2087,927,California,7358,2501,35650,4362,2648,1019,,,21245,3867,California,3073,1222,1302,1343,3240,1457,22094,4333,13303,3042,California,9864,2683,4796,1560,20834,3496,4673,1297,3324,1701,California,2810,1256,1201,507,3600,1751,1658,1175,7793,1924,California,10244,2069,12069,4117,5687,1375,2092,896,7677,1995,California,2599,1492,1955,821,36159,5100,1222,869,8053,2169,California,5904,2207,25629,3287,8708,2611,1392,898,10474,3555,California,5113,1763,18165,2845,8550,2017,1103,545,5758,2383,California,1004,686,8761,2325,37087,5877,8944,2725,745,504,California,15753,2373,36481,6266,832,463,5668,1495,2047,1810,California,269772,16003,1344,635,2817,2043,265611,15898
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Colorado,5048443,4037,4048042,22888,763233,18937,202124,11431,2340,1681,Colorado,3191,1622,12338,3704,1615,1191,23234,3742,,,Colorado,1567,838,501,556,298,301,8075,2090,3250,1254,Colorado,1852,832,1578,766,6027,1536,2116,1289,3510,1495,Colorado,3718,1495,1361,1028,908,550,1358,1235,3303,1416,Colorado,2157,1085,3225,1061,3055,1092,879,621,4552,1382,Colorado,4079,1579,4582,1961,4061,1432,489,396,2863,1788,Colorado,8797,2308,3998,1621,4756,1686,2249,1245,5527,2388,Colorado,3824,2137,5543,2105,3348,1302,435,560,718,480,Colorado,1340,1037,3193,1472,22390,4287,3856,1446,914,772,Colorado,6281,2671,5524,2092,412,490,3995,1774,2942,923,Colorado,35044,5809,476,556,57,79,34511,5839
17,Connecticut,3548667,2644,3139496,16755,316883,15392,71502,6552,101,120,Connecticut,180,299,1387,939,84,178,3699,1455,1502,618,Connecticut,,,62,132,607,373,4771,1275,2000,988,Connecticut,587,523,133,224,1843,965,168,214,67,120,Connecticut,16,36,0,198,315,238,259,193,1267,744,Connecticut,8691,1998,692,736,76,120,69,116,365,297,Connecticut,206,277,62,103,160,189,1221,803,3809,1324,Connecticut,265,225,20015,4005,1029,593,0,198,1383,791,Connecticut,217,211,117,161,3668,1639,1488,645,997,476,Connecticut,0,198,123,141,1214,646,398,359,608,354,Connecticut,2555,1053,2255,1469,46,77,660,898,65,110,Connecticut,20786,4003,2105,1756,0,198,18681,3485
18,Delaware,897187,1369,775414,8584,83156,6851,33912,3955,81,135,Delaware,329,544,541,728,0,192,699,594,169,218,Delaware,66,94,,,154,144,810,449,639,422,Delaware,201,171,441,347,34,35,210,235,0,192,Delaware,7,17,305,391,0,192,0,192,4238,1274,Delaware,806,558,43,71,201,299,0,192,713,684,Delaware,0,192,12,28,0,192,0,192,6297,1765,Delaware,0,192,3141,1083,388,256,0,192,664,608,Delaware,27,45,0,192,8571,1728,131,217,153,179,Delaware,0,192,221,259,883,755,475,738,0,192,Delaware,1064,512,482,530,198,174,55,96,463,527,Delaware,4705,1519,1008,971,0,192,3697,1338
19,District of Columbia ,611608,1403,489659,6701,66519,6073,48066,4295,13,29,District of Columbia ,135,217,43,71,81,93,3797,1233,452,321,District of Columbia ,981,472,128,125,,,1254,651,937,572,District of Columbia ,372,396,68,113,1397,814,128,147,241,284,District of Columbia ,6,19,297,260,0,200,0,200,14129,2971,District of Columbia ,2048,789,1108,554,409,457,83,99,112,184,District of Columbia ,38,64,79,110,238,282,145,139,1035,605,District of Columbia ,0,200,2313,697,1716,760,285,360,306,224,District of Columbia ,0,200,51,64,1589,757,50,63,357,329,District of Columbia ,104,129,421,358,1083,491,75,118,445,489,District of Columbia ,7975,1285,476,300,120,138,946,668,0,200,District of Columbia ,7364,1786,0,200,0,200,7364,1786
20,Florida,18863948,8536,15742168,59355,2454255,53419,498597,22483,12635,3566,Florida,7405,3412,8451,3258,3025,1241,22420,4065,9383,2988,Florida,11704,3121,1264,949,891,495,,,38658,6270,Florida,3639,2081,312,268,19152,3962,11472,3254,1846,1137,Florida,2661,1410,5441,1674,6094,2316,4689,2049,15410,3515,Florida,13701,3380,19640,3920,4663,1888,5175,1968,7114,2753,Florida,559,424,3857,2208,3527,1810,4324,1798,25206,6219,Florida,1376,781,59288,7171,23983,5251,514,600,18191,3264,Florida,2600,1168,3315,2046,20821,4267,5002,2668,11953,2956,Florida,716,1027,10451,4102,25532,4638,2343,1891,2019,1616,Florida,16614,3087,6339,2687,4964,2202,7412,2467,846,725,Florida,168928,14572,21611,5621,2643,1361,144674,12266
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Georgia,9699859,5580,8095407,40769,1289450,37444,271077,15123,18799,5015,Georgia,1079,765,4292,1849,2112,1366,14949,3387,2325,1399,Georgia,709,455,619,606,364,283,42666,5232,,,Georgia,1006,883,126,139,6080,1774,2442,1297,950,528,Georgia,4513,2909,3686,1708,6541,3121,408,269,3708,1807,Georgia,4436,1979,6992,2441,1808,1416,5380,3077,2514,989,Georgia,246,211,4144,3300,774,559,132,150,8371,3016,Georgia,791,421,14454,4681,19138,3931,201,221,6863,1986,Georgia,1632,1107,727,472,5791,1896,337,504,16914,5257,Georgia,536,730,16898,3610,15760,3421,793,1061,361,334,Georgia,9438,3336,3701,1532,1340,778,2727,1401,504,775,Georgia,43925,5368,1635,841,992,1218,41298,5237
23,Hawaii,1357806,1803,1160948,10743,122727,8676,57542,5083,1268,846,Hawaii,844,670,2900,1208,242,260,10173,2201,950,493,Hawaii,731,739,784,877,222,275,3160,1311,2519,956,Hawaii,,,112,199,1884,728,402,280,478,504,Hawaii,125,154,18,36,179,270,106,161,341,212,Hawaii,92,123,1303,1067,933,750,371,391,308,219,Hawaii,85,140,91,95,1548,795,107,141,564,697,Hawaii,354,366,4246,2556,2307,1256,32,54,970,677,Hawaii,685,502,2030,1378,870,468,58,70,1681,919,Hawaii,0,187,636,1018,3007,1122,1040,872,0,187,Hawaii,2523,1318,3790,1075,312,306,147,159,14,23,Hawaii,16589,3678,238,398,114,133,16237,3632
24,Idaho,1559637,2674,1284530,13188,208434,13285,60336,6293,263,259,Idaho,4510,2938,3543,1771,224,188,9021,2484,1813,1022,Idaho,0,195,0,195,0,195,1733,1210,275,234,Idaho,254,314,,,390,342,296,352,318,424,Idaho,479,503,120,170,51,110,0,195,0,195,Idaho,396,625,615,524,566,352,62,106,384,304,Idaho,1602,828,439,591,3581,1400,129,123,84,78,Idaho,141,229,419,399,263,435,1201,1099,260,212,Idaho,288,243,7170,1894,343,265,0,195,55,90,Idaho,842,1132,296,356,1303,952,6059,2187,0,195,Idaho,905,707,8991,2313,0,195,165,174,487,340,Idaho,6337,1846,249,412,34,53,6054,1758
25,Illinois,12718402,5792,11076528,31383,1353853,28856,216204,11862,2823,1526,Illinois,4119,3153,7657,1987,3185,1513,13930,2863,3271,1390,Illinois,1819,959,277,303,1440,708,17548,3370,6042,2192,Illinois,1269,735,393,356,,,23491,5269,8420,1581,Illinois,2533,1130,5569,1718,1315,761,693,510,2565,916,Illinois,3507,1540,10274,2032,4496,1177,1521,581,13889,2736,Illinois,304,275,827,520,2454,1187,590,334,3009,1033,Illinois,1573,1619,6412,1874,4057,1663,105,115,8384,1627,Illinois,1002,552,792,426,3012,1197,278,266,1582,783,Illinois,1318,1474,3223,1222,11011,2803,951,595,49,81,Illinois,5233,2524,3075,1254,352,288,14507,2936,58,76,Illinois,71817,6607,2387,715,76,79,69354,6616
26,Indiana,6437155,3841,5478683,24180,809158,21392,127874,8918,1562,1293,Indiana,371,324,3975,1427,2016,1321,7649,2229,1930,759,Indiana,1227,698,79,134,0,190,8595,3053,2543,1176,Indiana,1057,717,1368,1278,23071,4221,,,916,468,Indiana,1321,946,10177,2220,2241,1537,275,388,480,256,Indiana,952,703,7896,1777,1168,568,469,366,1824,1033,Indiana,34,62,622,491,511,338,90,152,651,348,Indiana,504,410,2518,816,3038,1840,70,94,11109,2141,Indiana,844,522,505,617,3998,1871,49,84,3306,1917,Indiana,235,231,3879,1292,6326,2074,123,127,530,349,Indiana,1486,853,1028,744,216,194,2923,1307,117,170,Indiana,21440,4553,132,220,121,141,21187,4544
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Iowa,3027718,2514,2573313,16682,370554,15638,70405,5539,207,259,Iowa,967,651,1411,726,433,317,3297,1022,2891,1129,Iowa,424,628,0,155,0,155,707,455,1938,1485,Iowa,299,454,161,175,13725,2238,349,204,,,Iowa,1776,819,387,303,228,223,26,43,487,319,Iowa,466,632,1687,954,5634,1117,408,306,3649,1188,Iowa,370,338,6490,1780,2009,1634,0,155,185,209,Iowa,421,347,2361,1104,1760,1268,604,377,993,482,Iowa,532,417,811,476,388,292,65,108,172,200,Iowa,2842,965,623,529,2334,1235,1482,940,38,71,Iowa,720,854,856,577,115,181,2537,850,140,117,Iowa,13446,2997,57,115,44,68,13345,2986
29,Kansas,2833584,2851,2372033,15236,362782,14847,83640,7144,434,310,Kansas,108,84,2028,858,998,697,4743,2121,5030,1611,Kansas,412,519,74,85,128,141,1581,790,1146,666,Kansas,287,282,264,358,2760,1019,863,458,1715,888,Kansas,,,1167,770,519,338,481,527,3180,2454,Kansas,28,49,1947,1003,679,418,1517,1370,22033,4568,Kansas,270,255,1648,701,657,359,27,37,1189,724,Kansas,769,810,780,411,1223,840,379,558,1616,901,Kansas,5022,1204,285,284,1494,1815,180,261,1102,670,Kansas,104,147,1066,496,6575,1436,196,265,0,168,Kansas,1986,1018,772,459,0,168,893,575,1285,791,Kansas,15129,2288,775,1013,253,396,14101,2164
30,Kentucky,4316297,3382,3686232,19523,505741,18525,110031,9177,925,441,Kentucky,0,189,1818,916,1058,778,2130,1154,221,197,Kentucky,176,251,0,189,201,248,7400,1965,2725,892,Kentucky,63,80,36,69,4273,1415,11071,2846,536,410,Kentucky,253,212,,,1399,906,71,137,2076,1444,Kentucky,1019,885,3178,1248,475,415,1248,868,2793,1158,Kentucky,216,238,471,517,1358,976,52,84,1289,1472,Kentucky,553,370,2174,1660,3916,1965,117,195,19617,3115,Kentucky,1256,853,459,328,1490,598,640,876,1387,814,Kentucky,0,189,16852,3762,4661,1468,140,202,151,152,Kentucky,5154,1719,1121,614,1174,566,581,414,57,93,Kentucky,14293,2809,192,262,0,189,14101,2765
31,Louisiana,4518629,3250,3865118,18789,538691,17818,99138,7082,3065,1401,Louisiana,288,266,2010,1529,2774,1144,3957,898,1202,983,Louisiana,358,264,0,198,195,168,5193,2120,4425,1541,Louisiana,688,808,230,269,1189,417,1549,827,468,441,Louisiana,312,466,1520,1286,,,120,163,1221,1058,Louisiana,439,255,1163,875,698,445,10255,2829,1375,565,Louisiana,278,364,176,198,994,623,15,26,453,269,Louisiana,1028,867,1360,849,2134,1242,277,359,2641,2281,Louisiana,4235,3044,1531,1577,455,473,268,395,1573,1149,Louisiana,37,47,2495,938,30292,5028,179,275,87,149,Louisiana,2055,1060,1075,504,110,123,339,372,357,541,Louisiana,15682,2868,393,384,32,64,15257,2813
32,Maine,1315833,1456,1120364,10400,157102,9401,33818,4248,634,541,Maine,37,43,325,301,38,67,829,428,290,222,Maine,2481,668,238,228,239,177,4304,1908,507,415,Maine,177,214,0,157,675,358,164,157,275,452,Maine,523,641,158,217,138,218,,,52,105,Maine,4439,1293,702,703,296,307,0,157,325,228,Maine,10,18,0,157,150,250,4302,1394,694,498,Maine,144,191,2589,1633,1439,1059,19,31,483,530,Maine,25,48,471,406,915,418,234,282,587,429,Maine,42,89,394,513,1637,1115,182,202,612,341,Maine,570,337,88,131,43,73,321,408,21,37,Maine,4549,1726,65,64,0,157,4484,1731
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Maryland,5759087,4326,5008452,20478,553895,18323,153979,9033,228,128,Maryland,671,493,945,604,423,528,8595,1773,1796,837,Maryland,1608,903,6652,1916,18492,3025,7825,1691,7113,1789,Maryland,1170,815,389,366,2392,1052,1318,791,110,146,Maryland,689,551,848,671,860,484,1526,1245,,,Maryland,3470,1341,2077,1273,810,503,1109,825,1469,944,Maryland,73,103,0,204,1105,1033,232,160,9627,1880,Maryland,797,676,9222,2041,6686,2008,0,204,3396,1110,Maryland,845,592,276,247,14158,3380,197,162,2882,1696,Maryland,0,204,1942,1093,3619,1102,223,230,40,69,Maryland,22089,3805,1525,611,2027,859,353,514,80,132,Maryland,42761,5926,779,654,133,158,41849,5966
